sector,county,staff,uses_ai,monthly_spend,round
Health,Louth,26,yes,182,H1 2026
Professional services,Mayo,46,yes,310,H2 2025
Health,Cork,4,no,260,H1 2026
Retail and ecommerce,Kildare,57,yes,-48,H1 2026
Public sector,Limerick,12,yes,315,H1 2026
Public sector,Mayo,59,yes,111,H2 2025
Retail and ecommerce,Galway,27,yes,24,H1 2026
Public sector,Mayo,42,no,244,H2 2025
Property,Meath,19,no,209,H1 2026
Professional services,Galway,39,no,289,H1 2026
Professional services,Meath,28,no,205,H1 2026
Health,Mayo,53,yes,127,H1 2026
Property,Cork,-8,yes,422,H1 2026
Public sector,Kildare,56,yes,157,H2 2025
Professional services,Louth,42,yes,112,H1 2026
Health,Louth,58,no,236,H1 2026
Tourism and hospitality,Louth,10,no,110,H1 2026
Professional services,Cork,38,no,314,H1 2026
Property,Mayo,27,no,261,H1 2026
Professional services,Louth,40,yes,1,H2 2025
Tourism and hospitality,Limerick,1,no,331,H1 2026
Property,Cork,55,no,30,H2 2025
Professional services,Louth,40,yes,34,H1 2026
Property,Mayo,45,no,259,H1 2026
Retail and ecommerce,Mayo,24,no,67,H1 2026
Retail and ecommerce,Limerick,56,yes,180,H2 2025
Tourism and hospitality,Limerick,12,no,154,H1 2026
Professional services,Cork,39,yes,45,H1 2026
Health,Galway,-5,yes,454,H1 2026
Tourism and hospitality,Meath,46,yes,76,H1 2026
Health,Louth,31,no,42,H1 2026
Professional services,Mayo,53,no,83,H1 2026
Professional services,Kildare,18,yes,83,H2 2025
Public sector,Cork,48,no,305,H2 2025
Financial services,Mayo,5,no,233,H1 2026
Health,Louth,38,yes,-25,H2 2025
Professional services,Meath,-1,no,466,H2 2025
Professional services,Cork,58,yes,60,H2 2025
Professional services,Louth,29,yes,73,H2 2025
Property,Louth,45,no,258,H2 2025
Retail and ecommerce,Limerick,12,no,162,H2 2025
Professional services,Meath,58,yes,226,H1 2026
Professional services,Mayo,25,no,227,H1 2026
Property,Meath,50,yes,28,H1 2026
Financial services,Galway,-4,no,335,H2 2025
Tourism and hospitality,Louth,52,no,131,H2 2025
Professional services,Limerick,27,no,173,H1 2026
Health,Louth,51,no,67,H2 2025
Tourism and hospitality,Kildare,18,no,125,H1 2026
Professional services,Louth,56,no,254,H1 2026
Property,Mayo,10,yes,268,H2 2025
Public sector,Kildare,44,yes,117,H1 2026
Professional services,Limerick,-4,yes,347,H2 2025
Health,Galway,59,no,74,H2 2025
Public sector,Louth,19,yes,30,H1 2026
Professional services,Meath,57,yes,246,H1 2026
Professional services,Limerick,23,no,242,H2 2025
Tourism and hospitality,Limerick,37,yes,285,H2 2025
Health,Louth,12,no,313,H1 2026
Professional services,Cork,30,yes,-28,H1 2026
Public sector,Louth,-8,no,441,H2 2025
Property,Limerick,41,yes,42,H2 2025
Professional services,Cork,25,no,204,H1 2026
Health,Meath,51,no,207,H2 2025
Professional services,Kildare,29,no,225,H1 2026
Property,Cork,36,yes,268,H2 2025
Professional services,Limerick,21,no,185,H1 2026
Public sector,Meath,45,no,73,H2 2025
Property,Louth,4,yes,300,H2 2025
Retail and ecommerce,Louth,35,no,-8,H2 2025
Tourism and hospitality,Kildare,46,yes,211,H1 2026
Retail and ecommerce,Galway,52,no,105,H1 2026
Professional services,Galway,29,yes,57,H2 2025
Financial services,Meath,36,yes,300,H1 2026
Tourism and hospitality,Cork,24,yes,328,H2 2025
Retail and ecommerce,Meath,43,yes,34,H2 2025
Professional services,Cork,5,yes,285,H2 2025
Public sector,Galway,40,yes,65,H1 2026
Health,Mayo,22,no,72,H2 2025
Financial services,Louth,41,yes,219,H2 2025
Professional services,Louth,23,no,122,H2 2025
Professional services,Louth,37,no,135,H1 2026
Professional services,Kildare,26,no,242,H1 2026
Health,Galway,37,yes,8,H2 2025
Financial services,Galway,1,no,463,H1 2026
Public sector,Cork,56,no,136,H2 2025
Property,Meath,36,no,42,H1 2026
Retail and ecommerce,Louth,58,yes,74,H2 2025
Property,Limerick,29,no,60,H1 2026
Financial services,Limerick,57,no,133,H2 2025
Health,Mayo,25,yes,307,H2 2025
Professional services,Galway,57,yes,-17,H1 2026
Property,Cork,9,yes,431,H1 2026
Tourism and hospitality,Meath,51,no,-24,H2 2025
Professional services,Galway,36,yes,52,H1 2026
Professional services,Louth,35,no,177,H1 2026
Retail and ecommerce,Mayo,29,yes,217,H2 2025
Property,Louth,36,no,285,H1 2026
Financial services,Louth,28,no,285,H1 2026
Retail and ecommerce,Mayo,56,no,-60,H1 2026
Professional services,Galway,12,no,273,H1 2026
Professional services,Mayo,46,no,-11,H1 2026
Professional services,Kildare,29,no,211,H2 2025
Financial services,Cork,47,no,109,H2 2025
Property,Louth,30,no,238,H2 2025
Professional services,Meath,51,no,131,H1 2026
Tourism and hospitality,Meath,22,no,232,H1 2026
Tourism and hospitality,Kildare,51,no,59,H1 2026
Tourism and hospitality,Limerick,10,no,322,H2 2025
Professional services,Cork,56,yes,49,H1 2026
Tourism and hospitality,Galway,33,no,173,H2 2025
Financial services,Meath,46,yes,83,H1 2026
Professional services,Galway,9,yes,153,H2 2025
Tourism and hospitality,Meath,55,no,305,H1 2026
Tourism and hospitality,Meath,23,yes,318,H1 2026
Property,Louth,57,no,127,H1 2026
Professional services,Kildare,8,yes,333,H2 2025
Professional services,Kildare,56,yes,71,H2 2025
Property,Louth,45,no,103,H2 2025
Health,Louth,38,yes,92,H2 2025
Tourism and hospitality,Louth,24,yes,86,H1 2026
Professional services,Meath,54,no,160,H2 2025
Property,Louth,8,no,311,H2 2025
Tourism and hospitality,Louth,46,yes,120,H1 2026
Tourism and hospitality,Louth,-9,yes,270,H1 2026
Tourism and hospitality,Cork,53,yes,-2,H2 2025
Property,Limerick,24,yes,151,H2 2025
Professional services,Galway,49,yes,96,H2 2025
Tourism and hospitality,Kildare,34,yes,69,H2 2025
Financial services,Louth,52,no,312,H1 2026
Financial services,Limerick,8,no,281,H1 2026
Professional services,Galway,56,yes,23,H2 2025
Financial services,Mayo,0,no,367,H1 2026
Professional services,Galway,45,yes,-7,H2 2025
Financial services,Louth,38,no,96,H1 2026
Retail and ecommerce,Kildare,58,yes,157,H1 2026
Professional services,Galway,31,yes,77,H1 2026
Financial services,Meath,37,yes,231,H1 2026
Public sector,Galway,16,no,188,H1 2026
Property,Mayo,41,no,115,H2 2025
Professional services,Louth,7,yes,322,H2 2025
Retail and ecommerce,Galway,45,yes,127,H2 2025
Health,Limerick,36,no,161,H1 2026
Public sector,Meath,45,yes,107,H1 2026
Retail and ecommerce,Mayo,34,yes,211,H2 2025
Financial services,Meath,58,no,212,H2 2025
Retail and ecommerce,Mayo,10,no,317,H1 2026
Professional services,Galway,48,yes,44,H2 2025
Retail and ecommerce,Louth,-11,no,418,H2 2025
Financial services,Galway,41,no,151,H1 2026
Health,Cork,21,yes,182,H2 2025
Financial services,Louth,46,no,199,H1 2026
Professional services,Louth,21,yes,93,H2 2025
Retail and ecommerce,Cork,49,no,299,H2 2025
Public sector,Cork,13,no,259,H2 2025
Professional services,Mayo,36,no,-1,H2 2025
Financial services,Limerick,-6,yes,290,H1 2026
Health,Meath,60,yes,111,H1 2026
Health,Meath,41,no,112,H1 2026
Professional services,Meath,38,no,119,H1 2026
Professional services,Louth,21,yes,235,H2 2025
Retail and ecommerce,Louth,42,no,142,H1 2026
Professional services,Kildare,24,no,287,H1 2026
Professional services,Cork,56,yes,-6,H2 2025
Financial services,Louth,-8,yes,397,H2 2025
Professional services,Limerick,52,no,52,H1 2026
Health,Kildare,31,yes,87,H1 2026
Property,Meath,54,no,152,H2 2025
Property,Mayo,26,no,71,H2 2025
Tourism and hospitality,Louth,33,no,278,H2 2025
Financial services,Kildare,21,no,274,H1 2026
Health,Galway,42,no,-61,H1 2026
Public sector,Louth,5,yes,429,H1 2026
Retail and ecommerce,Louth,42,no,71,H2 2025
Health,Louth,34,no,203,H1 2026
Public sector,Cork,47,no,149,H1 2026
Property,Galway,32,no,237,H1 2026
Retail and ecommerce,Mayo,39,no,134,H2 2025
Financial services,Kildare,19,yes,247,H2 2025
Retail and ecommerce,Louth,40,no,115,H1 2026
Tourism and hospitality,Cork,-5,no,317,H1 2026
Tourism and hospitality,Louth,34,yes,22,H1 2026
Health,Kildare,44,yes,104,H2 2025
Financial services,Cork,49,no,108,H1 2026
Health,Mayo,11,yes,180,H2 2025
Property,Galway,45,yes,132,H1 2026
Professional services,Mayo,31,yes,312,H2 2025
Public sector,Meath,52,no,42,H2 2025
Property,Limerick,3,no,270,H2 2025
Property,Mayo,52,no,40,H2 2025
Professional services,Cork,38,no,195,H2 2025
Public sector,Cork,40,no,213,H1 2026
Professional services,Kildare,16,yes,190,H1 2026
Financial services,Kildare,42,yes,149,H2 2025
Professional services,Kildare,5,yes,198,H1 2026
Property,Galway,37,yes,77,H1 2026
Property,Louth,-10,no,342,H2 2025
Public sector,Galway,50,yes,39,H1 2026
Public sector,Limerick,40,no,113,H1 2026
Tourism and hospitality,Cork,53,yes,150,H2 2025
Professional services,Meath,17,yes,114,H1 2026
Property,Cork,36,yes,183,H2 2025
Professional services,Galway,30,no,306,H1 2026
Tourism and hospitality,Louth,38,no,52,H1 2026
Health,Kildare,5,no,324,H1 2026
Tourism and hospitality,Galway,40,no,-3,H2 2025
Professional services,Galway,43,yes,64,H2 2025
Tourism and hospitality,Mayo,49,yes,246,H1 2026
Financial services,Mayo,10,no,128,H1 2026
Retail and ecommerce,Louth,56,no,141,H2 2025
Health,Mayo,7,yes,209,H1 2026
Property,Mayo,34,yes,10,H2 2025
Professional services,Meath,-11,yes,454,H2 2025
Tourism and hospitality,Galway,52,yes,157,H2 2025
Property,Kildare,37,yes,99,H1 2026
Property,Mayo,48,yes,112,H2 2025
Public sector,Kildare,12,yes,134,H1 2026
Retail and ecommerce,Galway,58,yes,305,H1 2026
Professional services,Mayo,13,yes,329,H2 2025
Financial services,Galway,32,no,32,H1 2026
Public sector,Louth,-2,no,411,H2 2025
Public sector,Meath,52,yes,43,H2 2025
Financial services,Louth,39,no,219,H2 2025
Professional services,Kildare,61,yes,212,H1 2026
Public sector,Cork,15,no,139,H1 2026
Health,Louth,47,no,297,H2 2025
Health,Louth,26,no,318,H2 2025
Financial services,Meath,48,yes,23,H1 2026
Financial services,Mayo,-11,yes,421,H1 2026
Health,Meath,36,no,-24,H1 2026
Financial services,Kildare,26,yes,189,H2 2025
Retail and ecommerce,Mayo,42,no,175,H1 2026
Property,Kildare,16,yes,211,H1 2026
Tourism and hospitality,Limerick,49,no,186,H1 2026
Professional services,Louth,28,yes,196,H1 2026
Property,Cork,32,no,103,H1 2026
Financial services,Louth,6,yes,391,H1 2026
Health,Louth,60,yes,-30,H1 2026
Financial services,Galway,22,no,142,H2 2025
Public sector,Cork,59,yes,172,H2 2025
Health,Kildare,35,yes,141,H2 2025
Public sector,Cork,39,yes,181,H1 2026
Professional services,Kildare,31,no,173,H1 2026
Retail and ecommerce,Mayo,52,yes,-46,H2 2025
Tourism and hospitality,Louth,4,no,299,H2 2025
Professional services,Meath,45,yes,129,H2 2025
Financial services,Louth,26,no,180,H2 2025
Public sector,Galway,50,no,168,H2 2025
Professional services,Cork,30,yes,235,H2 2025
Property,Mayo,39,no,276,H1 2026
Property,Limerick,31,yes,282,H1 2026
Health,Meath,48,yes,94,H1 2026
Tourism and hospitality,Cork,7,yes,435,H1 2026
Public sector,Meath,57,yes,143,H2 2025
Professional services,Louth,24,no,88,H2 2025
Professional services,Meath,52,no,254,H1 2026
Financial services,Louth,22,no,149,H1 2026
Financial services,Louth,35,no,216,H2 2025
Professional services,Galway,17,no,315,H2 2025
Financial services,Kildare,46,yes,77,H1 2026
Retail and ecommerce,Kildare,-2,yes,375,H1 2026
Property,Meath,33,no,13,H1 2026
Tourism and hospitality,Mayo,28,no,130,H1 2026
Financial services,Galway,57,no,150,H1 2026
Public sector,Kildare,20,no,143,H2 2025
Public sector,Galway,59,no,128,H1 2026
Health,Kildare,12,yes,182,H1 2026
Professional services,Cork,37,yes,102,H1 2026
Professional services,Limerick,11,yes,317,H1 2026
Health,Louth,46,no,-32,H1 2026
Financial services,Louth,33,no,188,H1 2026
Health,Louth,50,no,81,H2 2025
Financial services,Galway,19,no,180,H1 2026
Financial services,Cork,51,no,284,H1 2026
Professional services,Mayo,22,no,197,H2 2025
Retail and ecommerce,Cork,57,yes,36,H2 2025
Financial services,Louth,3,yes,298,H2 2025
Retail and ecommerce,Cork,34,yes,113,H2 2025
Tourism and hospitality,Galway,41,no,27,H2 2025
Professional services,Limerick,58,yes,142,H2 2025
Property,Cork,10,no,227,H1 2026
Professional services,Limerick,57,no,221,H1 2026
Retail and ecommerce,Mayo,24,yes,335,H1 2026
Health,Galway,49,no,111,H2 2025
Tourism and hospitality,Kildare,12,no,379,H2 2025
Property,Louth,57,yes,69,H1 2026
Property,Kildare,46,no,53,H1 2026
Tourism and hospitality,Limerick,48,no,105,H2 2025
Financial services,Limerick,20,yes,115,H2 2025
Property,Galway,40,no,168,H2 2025
Property,Louth,26,no,256,H2 2025
Financial services,Louth,30,no,37,H1 2026
Retail and ecommerce,Louth,9,no,270,H1 2026
Tourism and hospitality,Louth,53,yes,42,H1 2026
Financial services,Galway,47,yes,50,H2 2025
Property,Limerick,38,yes,195,H2 2025
Tourism and hospitality,Cork,13,yes,80,H2 2025
Professional services,Louth,45,no,203,H2 2025
Professional services,Mayo,26,yes,153,H2 2025
Professional services,Cork,39,no,120,H1 2026
Health,Kildare,4,no,291,H1 2026
Public sector,Kildare,41,yes,86,H2 2025
Financial services,Mayo,30,yes,93,H1 2026
Retail and ecommerce,Mayo,38,no,235,H1 2026
Public sector,Galway,9,no,236,H1 2026
Property,Louth,45,yes,153,H1 2026
Tourism and hospitality,Cork,31,no,159,H1 2026
Public sector,Galway,48,yes,-21,H1 2026
Professional services,Cork,13,no,286,H2 2025
Public sector,Louth,48,yes,42,H2 2025
Professional services,Meath,46,no,30,H1 2026
Health,Kildare,35,yes,198,H1 2026
Professional services,Kildare,34,yes,187,H1 2026
Retail and ecommerce,Louth,60,yes,276,H1 2026
Public sector,Louth,19,no,172,H1 2026
Retail and ecommerce,Galway,36,yes,59,H1 2026
Health,Galway,-5,yes,355,H2 2025
Tourism and hospitality,Limerick,36,yes,-30,H1 2026
Professional services,Kildare,40,no,174,H1 2026
Property,Kildare,50,no,229,H2 2025
Public sector,Kildare,17,no,56,H1 2026
Health,Mayo,47,yes,172,H2 2025
Property,Mayo,13,yes,314,H1 2026
Property,Louth,41,no,92,H1 2026
Health,Cork,15,yes,391,H2 2025
Professional services,Meath,36,no,65,H2 2025
Retail and ecommerce,Galway,30,yes,28,H1 2026
Professional services,Galway,42,no,259,H2 2025
Tourism and hospitality,Galway,29,yes,151,H1 2026
Property,Limerick,44,yes,268,H1 2026
Health,Galway,12,yes,306,H1 2026
Tourism and hospitality,Limerick,50,yes,29,H1 2026
Property,Kildare,-9,yes,452,H1 2026
Health,Limerick,55,no,84,H1 2026
Retail and ecommerce,Cork,42,yes,33,H2 2025
Tourism and hospitality,Galway,39,no,170,H1 2026
Financial services,Limerick,11,no,112,H2 2025
Retail and ecommerce,Louth,53,no,189,H2 2025
Public sector,Mayo,18,no,308,H2 2025
Property,Limerick,52,yes,-42,H1 2026
Professional services,Kildare,15,no,315,H1 2026
Professional services,Limerick,47,no,53,H2 2025
Retail and ecommerce,Limerick,38,no,207,H1 2026
Financial services,Kildare,62,no,75,H1 2026
Property,Louth,12,no,62,H2 2025
Financial services,Cork,37,yes,231,H2 2025
Public sector,Kildare,11,yes,153,H1 2026
Professional services,Mayo,57,yes,56,H1 2026
Tourism and hospitality,Louth,-7,yes,380,H2 2025
Retail and ecommerce,Louth,44,yes,-23,H1 2026
Professional services,Cork,38,no,116,H2 2025
Tourism and hospitality,Galway,36,yes,240,H1 2026
Retail and ecommerce,Louth,30,no,191,H2 2025
Health,Galway,41,no,134,H1 2026
Health,Galway,19,no,325,H1 2026
Financial services,Limerick,46,no,-17,H1 2026
Tourism and hospitality,Kildare,12,no,465,H2 2025
Financial services,Louth,56,yes,84,H2 2025
Retail and ecommerce,Meath,25,no,52,H1 2026
Professional services,Meath,54,no,230,H1 2026
Property,Louth,19,no,163,H1 2026
Health,Cork,39,no,297,H2 2025
Professional services,Louth,16,yes,342,H2 2025
Retail and ecommerce,Galway,34,no,75,H2 2025
Professional services,Cork,-1,yes,459,H1 2026
Financial services,Meath,35,no,55,H2 2025
Financial services,Louth,24,yes,130,H1 2026
Financial services,Louth,54,yes,153,H1 2026
Tourism and hospitality,Louth,35,no,66,H2 2025
Property,Cork,44,no,159,H2 2025
Health,Mayo,6,yes,216,H2 2025
Tourism and hospitality,Louth,45,yes,-23,H1 2026
Public sector,Louth,4,no,309,H2 2025
Retail and ecommerce,Meath,52,yes,67,H1 2026
Health,Meath,31,no,98,H1 2026
Financial services,Louth,59,no,108,H1 2026
Retail and ecommerce,Mayo,22,yes,181,H2 2025
Property,Louth,56,no,133,H2 2025
Public sector,Kildare,6,yes,307,H1 2026
Retail and ecommerce,Mayo,34,no,-31,H1 2026
Property,Limerick,-8,yes,280,H2 2025
Retail and ecommerce,Louth,47,yes,130,H2 2025
Financial services,Cork,26,yes,149,H1 2026
Professional services,Louth,40,yes,136,H1 2026
Health,Mayo,21,no,242,H2 2025
Public sector,Meath,42,yes,247,H2 2025
Retail and ecommerce,Galway,6,yes,173,H1 2026
Tourism and hospitality,Louth,46,yes,104,H2 2025
Tourism and hospitality,Meath,-5,yes,443,H2 2025
Property,Limerick,57,no,149,H1 2026
Retail and ecommerce,Limerick,21,yes,110,H2 2025
Professional services,Meath,45,yes,209,H2 2025
Tourism and hospitality,Kildare,20,yes,132,H1 2026
Health,Louth,53,yes,179,H2 2025
Public sector,Mayo,26,no,155,H1 2026
Tourism and hospitality,Meath,36,no,11,H1 2026
Public sector,Mayo,10,yes,433,H2 2025
Tourism and hospitality,Cork,36,no,89,H2 2025
Professional services,Louth,19,no,103,H2 2025
Tourism and hospitality,Louth,49,yes,205,H1 2026
Public sector,Kildare,23,yes,182,H2 2025
Property,Meath,41,no,303,H2 2025
Public sector,Kildare,17,no,312,H2 2025
Property,Mayo,48,no,38,H2 2025
Professional services,Louth,-9,yes,337,H1 2026
Professional services,Kildare,55,no,-30,H1 2026
Tourism and hospitality,Limerick,34,no,95,H2 2025
Financial services,Mayo,48,yes,135,H1 2026
Financial services,Cork,30,no,233,H1 2026
Professional services,Limerick,44,yes,179,H1 2026
Property,Louth,10,yes,285,H1 2026
Property,Mayo,38,no,110,H2 2025
Tourism and hospitality,Kildare,-4,no,462,H2 2025
Tourism and hospitality,Galway,38,no,15,H2 2025
Public sector,Louth,29,no,53,H2 2025
Retail and ecommerce,Louth,35,yes,203,H2 2025
Health,Galway,21,yes,140,H1 2026
Property,Louth,48,yes,209,H1 2026
Professional services,Cork,24,yes,243,H2 2025
Professional services,Louth,53,yes,126,H2 2025
Tourism and hospitality,Louth,9,yes,344,H2 2025
Retail and ecommerce,Galway,50,no,-21,H2 2025
Professional services,Kildare,33,yes,213,H2 2025
Health,Kildare,49,no,97,H2 2025
Health,Louth,28,yes,147,H2 2025
Professional services,Cork,34,yes,317,H2 2025
Financial services,Meath,23,yes,299,H1 2026
Public sector,Louth,54,yes,67,H1 2026
Tourism and hospitality,Limerick,1,yes,321,H2 2025
Professional services,Limerick,34,no,-5,H1 2026
Financial services,Louth,38,no,62,H1 2026
Health,Galway,48,yes,194,H2 2025
Financial services,Cork,22,yes,247,H1 2026
Tourism and hospitality,Kildare,45,yes,243,H1 2026
Professional services,Meath,21,no,304,H1 2026
Tourism and hospitality,Louth,50,no,58,H1 2026
Retail and ecommerce,Limerick,10,no,341,H2 2025
Tourism and hospitality,Louth,44,no,-36,H1 2026
Health,Mayo,38,yes,23,H1 2026
Health,Galway,53,no,132,H2 2025
Health,Louth,35,no,115,H1 2026
Public sector,Louth,40,no,212,H2 2025
Professional services,Kildare,30,yes,168,H2 2025
Property,Louth,49,no,-1,H2 2025
Property,Limerick,11,yes,354,H1 2026
Property,Mayo,55,no,67,H1 2026
Tourism and hospitality,Galway,29,yes,79,H2 2025
Health,Cork,42,yes,83,H1 2026
Public sector,Louth,19,no,197,H2 2025
Public sector,Limerick,40,no,177,H2 2025
Professional services,Mayo,14,yes,160,H2 2025
Property,Louth,48,no,-13,H2 2025
Health,Galway,3,no,417,H1 2026
Public sector,Galway,52,yes,132,H2 2025
Professional services,Kildare,41,yes,96,H1 2026
Property,Kildare,40,yes,116,H2 2025
Property,Meath,31,no,124,H2 2025
Retail and ecommerce,Louth,51,no,203,H2 2025
Tourism and hospitality,Louth,17,no,255,H2 2025
Public sector,Limerick,46,no,-5,H1 2026
Retail and ecommerce,Mayo,-7,no,375,H1 2026
Health,Louth,41,yes,126,H1 2026
Professional services,Meath,42,no,137,H1 2026
Property,Cork,54,no,188,H1 2026
Tourism and hospitality,Meath,35,no,160,H2 2025
Tourism and hospitality,Galway,36,yes,148,H1 2026
Professional services,Mayo,18,no,273,H2 2025
Public sector,Kildare,49,no,97,H2 2025
Retail and ecommerce,Cork,7,no,408,H1 2026
Retail and ecommerce,Meath,35,yes,126,H1 2026
Tourism and hospitality,Louth,42,yes,90,H2 2025
Professional services,Meath,37,no,149,H1 2026
Professional services,Limerick,28,no,127,H2 2025
Professional services,Louth,41,no,304,H1 2026
Health,Louth,11,no,291,H1 2026
Tourism and hospitality,Louth,46,no,27,H1 2026
Retail and ecommerce,Louth,-2,yes,376,H2 2025
Professional services,Kildare,38,yes,7,H1 2026
Tourism and hospitality,Meath,43,no,131,H1 2026
Tourism and hospitality,Cork,48,no,136,H2 2025
Financial services,Kildare,9,yes,249,H2 2025
Professional services,Kildare,55,yes,306,H2 2025
Public sector,Kildare,16,no,243,H1 2026
Tourism and hospitality,Louth,37,yes,64,H2 2025
Professional services,Limerick,-3,no,422,H2 2025
Retail and ecommerce,Mayo,49,yes,73,H1 2026
Public sector,Limerick,23,no,179,H1 2026
Professional services,Louth,51,yes,156,H2 2025
Professional services,Mayo,15,no,244,H1 2026
Financial services,Louth,36,yes,232,H1 2026
Public sector,Cork,19,yes,151,H2 2025
Health,Louth,31,no,17,H2 2025
Property,Louth,-9,yes,377,H1 2026
Public sector,Meath,37,no,130,H1 2026
Property,Louth,40,yes,154,H1 2026
Property,Louth,37,no,215,H2 2025
Professional services,Cork,10,yes,63,H1 2026
Retail and ecommerce,Galway,57,no,321,H1 2026
Professional services,Limerick,21,no,177,H2 2025
Property,Kildare,35,no,-50,H2 2025
Professional services,Meath,-10,yes,454,H2 2025
Professional services,Meath,56,yes,65,H2 2025
Financial services,Louth,28,yes,42,H2 2025
Retail and ecommerce,Kildare,38,yes,198,H1 2026
Property,Mayo,20,yes,116,H1 2026
Tourism and hospitality,Meath,49,yes,271,H2 2025
Health,Meath,30,no,266,H2 2025
Health,Kildare,35,yes,58,H2 2025
Financial services,Limerick,14,no,284,H1 2026
Property,Louth,58,no,43,H1 2026
Tourism and hospitality,Galway,28,no,114,H2 2025
Professional services,Cork,36,yes,76,H1 2026
Retail and ecommerce,Mayo,33,yes,102,H2 2025
Tourism and hospitality,Mayo,38,no,269,H1 2026
Financial services,Kildare,27,yes,187,H1 2026
Property,Kildare,40,yes,124,H1 2026
Professional services,Kildare,6,no,429,H2 2025
Tourism and hospitality,Meath,43,no,9,H1 2026
Retail and ecommerce,Limerick,41,yes,86,H2 2025
Retail and ecommerce,Cork,55,yes,109,H1 2026
Property,Limerick,14,yes,131,H1 2026
Tourism and hospitality,Cork,37,yes,209,H2 2025
Professional services,Limerick,27,no,159,H2 2025
Professional services,Cork,35,no,46,H2 2025
Health,Louth,12,no,424,H1 2026
Professional services,Mayo,59,no,108,H1 2026
Property,Cork,25,yes,55,H2 2025
Professional services,Cork,40,no,124,H1 2026
Professional services,Mayo,23,no,84,H1 2026
Retail and ecommerce,Limerick,52,yes,199,H2 2025
Property,Mayo,6,yes,225,H2 2025
Tourism and hospitality,Galway,53,no,76,H2 2025
Property,Mayo,4,no,271,H2 2025
Retail and ecommerce,Cork,42,yes,154,H1 2026
Professional services,Louth,23,no,131,H2 2025
Professional services,Meath,39,yes,213,H1 2026
Financial services,Louth,10,yes,199,H1 2026
Professional services,Kildare,56,yes,150,H1 2026
Property,Mayo,23,no,202,H2 2025
Public sector,Mayo,40,yes,-60,H2 2025
Financial services,Cork,-5,no,356,H2 2025
Property,Louth,34,no,8,H2 2025
Financial services,Cork,29,no,174,H2 2025
Tourism and hospitality,Galway,56,yes,206,H1 2026
Professional services,Galway,17,no,248,H1 2026
Property,Galway,48,no,316,H2 2025
Property,Galway,14,no,303,H1 2026
Professional services,Kildare,50,yes,109,H2 2025
Tourism and hospitality,Louth,12,no,403,H2 2025
Retail and ecommerce,Galway,60,yes,50,H2 2025
Property,Cork,20,no,83,H2 2025
Property,Mayo,38,yes,154,H1 2026
Health,Mayo,28,yes,227,H2 2025
Tourism and hospitality,Louth,34,no,137,H1 2026
Professional services,Louth,16,no,174,H1 2026
Public sector,Meath,57,yes,92,H1 2026
Tourism and hospitality,Louth,-11,no,285,H1 2026
Property,Limerick,58,yes,35,H1 2026
Property,Louth,37,yes,189,H1 2026
Public sector,Meath,61,yes,96,H2 2025
Financial services,Galway,15,yes,88,H2 2025
Health,Galway,55,yes,281,H2 2025
Health,Louth,17,yes,249,H1 2026
Retail and ecommerce,Louth,53,yes,-12,H2 2025
Health,Mayo,11,yes,328,H1 2026
Professional services,Cork,44,no,-32,H1 2026
Retail and ecommerce,Mayo,40,yes,160,H1 2026
Retail and ecommerce,Cork,42,no,106,H1 2026
Professional services,Kildare,19,no,202,H2 2025
Property,Kildare,38,yes,251,H1 2026
Public sector,Louth,18,yes,204,H2 2025
Property,Louth,39,no,3,H2 2025
Financial services,Limerick,-9,yes,312,H2 2025
Retail and ecommerce,Limerick,55,yes,-23,H1 2026
Retail and ecommerce,Kildare,22,no,116,H1 2026
Tourism and hospitality,Mayo,48,yes,117,H1 2026
Tourism and hospitality,Galway,10,no,111,H1 2026
Health,Kildare,41,yes,151,H1 2026
Professional services,Kildare,24,yes,342,H1 2026
Property,Limerick,42,no,123,H1 2026
Tourism and hospitality,Limerick,-2,no,453,H1 2026
Tourism and hospitality,Cork,45,yes,125,H1 2026
Professional services,Louth,33,no,153,H1 2026
Retail and ecommerce,Mayo,46,yes,188,H2 2025
Financial services,Louth,35,no,250,H2 2025
Professional services,Limerick,56,no,132,H2 2025
Financial services,Cork,25,yes,217,H2 2025
Retail and ecommerce,Galway,47,yes,94,H1 2026
Property,Louth,4,no,300,H1 2026
Professional services,Louth,39,no,16,H2 2025
Property,Louth,33,no,164,H2 2025
Financial services,Cork,59,yes,142,H2 2025
Financial services,Cork,28,no,105,H1 2026
Professional services,Mayo,41,no,142,H1 2026
Professional services,Galway,6,no,180,H1 2026
Public sector,Limerick,48,no,56,H1 2026
Financial services,Kildare,14,yes,425,H2 2025
Retail and ecommerce,Limerick,34,no,73,H2 2025
Property,Louth,38,no,217,H2 2025
Retail and ecommerce,Mayo,35,no,115,H2 2025
Public sector,Limerick,34,yes,165,H2 2025
Professional services,Louth,37,yes,162,H2 2025
Tourism and hospitality,Galway,31,no,203,H2 2025
Financial services,Louth,30,no,-32,H2 2025
Health,Kildare,-10,no,353,H2 2025
Professional services,Meath,51,yes,121,H1 2026
Financial services,Cork,34,yes,67,H2 2025
Financial services,Meath,40,yes,235,H1 2026
Financial services,Mayo,35,no,146,H2 2025
Property,Louth,58,yes,233,H1 2026
Professional services,Cork,17,no,347,H1 2026
Financial services,Mayo,50,yes,21,H2 2025
Public sector,Mayo,14,yes,324,H1 2026
Property,Louth,54,yes,142,H2 2025
