engine,category,domain_kind,is_ie,read
Copilot,Marketing,Forum,no,2026-07-26
Google AI,AI,Other,yes,2026-09-05
Copilot,AI,Forum,yes,2026-07-16
Claude,Marketing,Other,no,2026-07-23
Perplexity,AI,Other,yes,2026-06-22
Perplexity,Marketing,Other,yes,2026-05-26
Claude,AI,Forum,yes,2026-07-27
Perplexity,AI,Other,yes,2026-08-28
Claude,AI,Forum,no,2026-07-28
Google AI,AI,Brand,yes,2026-08-08
Copilot,AI,Forum,no,2026-06-09
Claude,Marketing,Forum,no,2026-06-15
Claude,AI,Other,yes,2026-07-09
ChatGPT,Marketing,Other,no,2026-07-17
Perplexity,AI,Other,no,2026-08-21
Perplexity,AI,Forum,no,2026-06-30
Copilot,AI,Forum,yes,2026-06-24
Copilot,Marketing,Forum,yes,2026-07-28
Google AI,AI,Forum,yes,2026-08-06
Perplexity,AI,State,yes,2026-06-19
Claude,Marketing,Brand,yes,2026-07-06
Perplexity,Training,Other,yes,2026-06-22
Google AI,AI,Forum,yes,2026-07-05
Google AI,Marketing,State,yes,2026-07-14
Google AI,Marketing,Forum,no,2026-08-29
Claude,AI,Other,yes,2026-09-12
Google AI,Marketing,Other,no,2026-07-28
Claude,Marketing,Forum,yes,2026-09-14
ChatGPT,Marketing,Brand,yes,2026-08-07
Perplexity,AI,Other,no,2026-06-21
Claude,AI,Other,yes,2026-09-02
Perplexity,Training,Forum,yes,2026-05-25
ChatGPT,AI,State,yes,2026-07-31
Perplexity,AI,Brand,yes,2026-09-06
Claude,AI,Other,no,2026-05-29
Claude,Marketing,Forum,yes,2026-08-25
ChatGPT,Marketing,Other,yes,2026-09-03
Google AI,AI,Brand,yes,2026-06-30
Perplexity,Marketing,Forum,yes,2026-06-16
Perplexity,Training,State,no,2026-05-23
Copilot,AI,Forum,yes,2026-09-09
Perplexity,AI,Other,yes,2026-07-20
Copilot,AI,Other,no,2026-06-07
Claude,AI,Brand,yes,2026-08-14
Claude,AI,Other,no,2026-05-26
Copilot,Training,Other,yes,2026-07-21
Copilot,AI,Other,no,2026-06-27
Perplexity,Marketing,Other,yes,2026-09-05
Copilot,Training,Forum,no,2026-08-27
Perplexity,Marketing,Forum,yes,2026-08-21
Copilot,AI,Other,yes,2026-09-05
Copilot,Marketing,Forum,yes,2026-06-08
Copilot,AI,Other,yes,2026-06-01
Copilot,AI,Other,no,2026-06-07
Perplexity,AI,Forum,no,2026-05-26
Perplexity,AI,State,no,2026-08-10
Perplexity,AI,Other,yes,2026-08-27
Perplexity,Training,Forum,no,2026-06-21
Perplexity,AI,Forum,yes,2026-08-19
Copilot,Marketing,Other,yes,2026-06-25
Copilot,AI,Other,yes,2026-08-19
Claude,AI,Brand,no,2026-08-28
Perplexity,Marketing,Other,yes,2026-07-10
Claude,AI,Other,no,2026-09-03
Google AI,AI,Other,no,2026-07-24
Perplexity,AI,Other,yes,2026-08-23
Claude,Marketing,State,yes,2026-08-11
Perplexity,AI,Brand,yes,2026-09-11
Claude,Marketing,State,yes,2026-08-04
Perplexity,Marketing,Other,yes,2026-06-28
Claude,Marketing,Other,no,2026-06-23
Google AI,Marketing,Other,no,2026-06-23
Claude,AI,Forum,no,2026-06-13
Claude,Marketing,Other,no,2026-09-13
Google AI,AI,Other,yes,2026-09-09
ChatGPT,Training,Forum,yes,2026-08-07
Claude,AI,Forum,no,2026-05-26
Google AI,Marketing,Forum,no,2026-06-07
Claude,Marketing,Forum,no,2026-07-15
Perplexity,Training,Other,no,2026-08-05
Claude,AI,Other,yes,2026-06-14
Claude,AI,Brand,no,2026-06-05
Claude,AI,Other,yes,2026-09-14
Claude,Marketing,Forum,yes,2026-06-30
Perplexity,AI,Other,yes,2026-07-31
Perplexity,AI,Brand,no,2026-05-31
Google AI,AI,Other,yes,2026-08-21
Perplexity,AI,Other,yes,2026-05-24
Google AI,Marketing,Forum,yes,2026-06-12
Google AI,Marketing,State,yes,2026-06-20
ChatGPT,Marketing,Forum,yes,2026-05-24
Google AI,Training,Forum,yes,2026-08-19
Perplexity,AI,Other,yes,2026-07-23
Copilot,Marketing,Other,no,2026-07-28
Google AI,Marketing,Other,no,2026-09-09
Claude,Marketing,Other,no,2026-08-23
Perplexity,Marketing,Other,no,2026-06-20
Claude,AI,Other,no,2026-05-21
Claude,Training,Forum,no,2026-06-01
Perplexity,Marketing,Forum,yes,2026-08-15
Perplexity,Marketing,Forum,yes,2026-05-27
Copilot,AI,Forum,yes,2026-07-19
ChatGPT,Marketing,Other,yes,2026-06-25
Perplexity,AI,Forum,yes,2026-09-12
Claude,AI,State,yes,2026-09-13
Claude,AI,Forum,yes,2026-08-02
Copilot,Training,Other,yes,2026-05-25
Claude,AI,State,yes,2026-07-25
Perplexity,AI,Forum,yes,2026-05-18
ChatGPT,AI,Other,no,2026-08-31
Perplexity,AI,Other,yes,2026-08-23
Copilot,Marketing,State,no,2026-05-22
Claude,Training,Other,no,2026-06-26
Perplexity,AI,Forum,yes,2026-07-02
Perplexity,AI,Forum,no,2026-06-08
Claude,AI,Other,yes,2026-09-09
Perplexity,Marketing,Other,no,2026-08-13
Claude,Marketing,Forum,yes,2026-07-16
Perplexity,AI,Forum,yes,2026-05-28
Claude,AI,Forum,no,2026-08-19
Copilot,AI,Other,no,2026-08-23
ChatGPT,AI,Forum,no,2026-07-21
Perplexity,Marketing,Forum,yes,2026-07-09
Google AI,AI,Other,yes,2026-09-12
ChatGPT,AI,Brand,yes,2026-05-22
Perplexity,AI,Other,no,2026-09-02
Google AI,AI,Forum,no,2026-08-29
ChatGPT,AI,State,yes,2026-07-05
Claude,Marketing,Forum,no,2026-07-22
Claude,AI,Brand,yes,2026-08-05
Copilot,AI,State,yes,2026-06-01
Perplexity,AI,Forum,no,2026-06-20
Copilot,AI,Forum,no,2026-08-07
Google AI,AI,Brand,no,2026-09-08
Claude,AI,Forum,yes,2026-08-02
Copilot,AI,Other,no,2026-07-05
ChatGPT,AI,Forum,no,2026-08-07
Claude,AI,Other,yes,2026-07-03
ChatGPT,AI,Brand,no,2026-09-10
Perplexity,AI,Forum,no,2026-08-10
Claude,Marketing,Forum,yes,2026-08-02
Perplexity,Marketing,Other,no,2026-06-18
Copilot,Marketing,Other,yes,2026-06-01
ChatGPT,AI,Other,no,2026-08-09
Perplexity,AI,Other,yes,2026-08-01
Google AI,AI,Forum,yes,2026-06-23
ChatGPT,AI,Forum,no,2026-08-27
Copilot,Marketing,Forum,yes,2026-06-11
Perplexity,AI,Other,no,2026-08-25
Claude,AI,Other,yes,2026-06-09
ChatGPT,Marketing,Forum,yes,2026-09-14
Claude,AI,Forum,yes,2026-08-10
Claude,Marketing,Forum,yes,2026-09-04
Google AI,Marketing,State,yes,2026-09-09
Copilot,AI,Forum,yes,2026-09-03
ChatGPT,AI,Other,yes,2026-06-17
Copilot,Marketing,Forum,yes,2026-07-05
Perplexity,AI,Brand,no,2026-06-18
Google AI,AI,Brand,yes,2026-06-30
Claude,AI,Brand,yes,2026-09-11
Google AI,AI,Forum,yes,2026-07-11
Google AI,AI,Other,yes,2026-08-08
Perplexity,AI,Brand,no,2026-08-31
Google AI,AI,State,no,2026-07-11
ChatGPT,AI,Forum,no,2026-07-15
Perplexity,Marketing,Forum,yes,2026-09-14
Perplexity,AI,Forum,yes,2026-05-19
Claude,Marketing,Forum,no,2026-08-31
Google AI,AI,Other,yes,2026-08-15
Perplexity,Marketing,Forum,no,2026-08-25
Claude,Marketing,Other,yes,2026-08-25
Copilot,AI,Other,no,2026-06-21
Copilot,AI,Other,no,2026-06-06
Google AI,AI,State,no,2026-07-30
Perplexity,Marketing,Other,no,2026-08-30
Copilot,Training,Forum,yes,2026-08-19
Copilot,Marketing,Brand,yes,2026-07-27
Copilot,Marketing,Forum,yes,2026-08-15
ChatGPT,AI,Other,yes,2026-06-27
Perplexity,Marketing,Brand,yes,2026-07-22
Claude,AI,Forum,yes,2026-09-11
Claude,Marketing,Forum,yes,2026-06-10
Perplexity,Marketing,State,yes,2026-06-14
Perplexity,Marketing,Forum,yes,2026-07-05
Claude,Marketing,State,no,2026-06-26
ChatGPT,Marketing,Other,no,2026-07-12
Perplexity,Marketing,Other,yes,2026-07-07
ChatGPT,AI,Forum,yes,2026-09-02
Copilot,AI,Other,no,2026-06-14
Copilot,AI,Other,no,2026-08-09
Google AI,AI,Brand,no,2026-08-27
Claude,Marketing,Forum,yes,2026-07-20
Copilot,AI,Brand,yes,2026-08-05
Perplexity,Training,Forum,yes,2026-09-02
Copilot,Marketing,Brand,yes,2026-08-19
ChatGPT,Marketing,Other,yes,2026-06-24
Claude,Marketing,Forum,yes,2026-05-28
Google AI,Marketing,Forum,yes,2026-05-18
Copilot,AI,Other,yes,2026-08-17
Copilot,Marketing,State,yes,2026-09-04
Perplexity,Marketing,Forum,no,2026-08-27
Perplexity,AI,Brand,yes,2026-09-01
Copilot,AI,Forum,no,2026-06-07
Claude,AI,Forum,yes,2026-09-07
ChatGPT,AI,Brand,yes,2026-08-08
Copilot,Marketing,Other,no,2026-05-22
Copilot,Marketing,Forum,no,2026-06-13
ChatGPT,AI,Other,yes,2026-09-14
Copilot,AI,Other,no,2026-09-13
Claude,Marketing,Other,no,2026-07-21
Copilot,Marketing,Other,no,2026-07-10
Perplexity,Marketing,State,no,2026-06-19
Claude,Marketing,Forum,yes,2026-05-29
Claude,AI,State,no,2026-07-18
Copilot,AI,Brand,no,2026-06-01
Claude,AI,Forum,no,2026-08-01
Claude,AI,Other,yes,2026-08-06
ChatGPT,Training,Forum,no,2026-06-11
Perplexity,Marketing,Other,no,2026-07-19
Copilot,AI,State,no,2026-06-21
Perplexity,Marketing,Forum,no,2026-05-28
Copilot,Marketing,Forum,no,2026-09-14
Copilot,AI,Forum,yes,2026-07-13
Claude,AI,Other,yes,2026-05-30
Google AI,Training,State,yes,2026-09-13
Claude,AI,Other,yes,2026-08-17
Copilot,Marketing,Other,yes,2026-06-06
Perplexity,AI,Other,yes,2026-08-09
Perplexity,Marketing,Other,no,2026-08-28
Claude,AI,Other,no,2026-06-09
Copilot,AI,Other,no,2026-09-02
Google AI,AI,Forum,no,2026-05-20
Copilot,Training,Forum,yes,2026-06-13
Copilot,Marketing,Other,no,2026-09-04
Perplexity,AI,Brand,yes,2026-08-31
ChatGPT,AI,Other,yes,2026-09-06
Copilot,AI,Forum,yes,2026-05-22
Claude,AI,Forum,no,2026-06-11
Claude,Marketing,State,no,2026-05-26
Perplexity,AI,Other,yes,2026-06-29
Perplexity,Marketing,Brand,yes,2026-07-18
Google AI,Marketing,Forum,no,2026-08-11
Perplexity,AI,Other,yes,2026-07-16
Copilot,AI,Other,yes,2026-06-06
Copilot,AI,Other,yes,2026-06-13
Google AI,Marketing,Other,yes,2026-06-25
Perplexity,Marketing,Forum,yes,2026-06-26
Copilot,AI,Brand,no,2026-08-08
Perplexity,AI,Forum,no,2026-07-28
Copilot,Training,Forum,no,2026-05-18
Perplexity,AI,Other,no,2026-06-27
Perplexity,AI,Forum,yes,2026-08-04
Copilot,AI,State,yes,2026-06-18
Claude,AI,Other,no,2026-08-02
ChatGPT,Marketing,Forum,no,2026-06-17
Perplexity,AI,State,yes,2026-06-29
Google AI,Marketing,Other,no,2026-06-03
Perplexity,AI,State,no,2026-08-22
Copilot,Marketing,Other,no,2026-07-13
Claude,Marketing,Other,no,2026-07-21
Copilot,Marketing,Forum,yes,2026-07-22
ChatGPT,Marketing,Forum,no,2026-08-27
Claude,Marketing,Forum,yes,2026-08-16
Copilot,AI,Other,yes,2026-08-22
Claude,AI,Brand,yes,2026-07-15
Perplexity,AI,Other,yes,2026-06-22
ChatGPT,Marketing,Other,yes,2026-09-09
Perplexity,Marketing,Other,yes,2026-06-05
ChatGPT,AI,Forum,yes,2026-06-09
Copilot,Training,Forum,yes,2026-06-22
Perplexity,Training,Forum,yes,2026-07-12
Claude,AI,Brand,yes,2026-09-10
Claude,AI,Other,no,2026-09-05
Google AI,Training,State,yes,2026-06-10
Perplexity,AI,Other,no,2026-05-26
Claude,AI,Other,yes,2026-07-29
Perplexity,Training,Brand,yes,2026-07-02
Copilot,AI,Brand,no,2026-06-16
Claude,AI,Brand,yes,2026-07-04
Perplexity,Marketing,Forum,no,2026-07-13
Perplexity,AI,Brand,yes,2026-06-22
Google AI,Marketing,Brand,yes,2026-07-20
Claude,Marketing,Forum,yes,2026-08-12
Copilot,AI,Forum,yes,2026-08-10
Copilot,AI,Forum,yes,2026-05-22
Perplexity,Marketing,Other,yes,2026-08-11
Claude,AI,State,yes,2026-09-01
Copilot,Training,Other,no,2026-06-13
ChatGPT,Marketing,Forum,no,2026-08-31
Perplexity,Marketing,Other,no,2026-06-28
Copilot,Training,Other,yes,2026-06-16
ChatGPT,Marketing,Forum,yes,2026-07-07
ChatGPT,Marketing,Other,no,2026-05-24
Copilot,AI,State,yes,2026-06-27
Copilot,Marketing,Other,no,2026-06-05
ChatGPT,AI,Other,yes,2026-06-25
ChatGPT,AI,Forum,no,2026-06-11
Claude,AI,State,yes,2026-06-21
Perplexity,Marketing,Forum,yes,2026-08-17
Copilot,AI,Forum,yes,2026-05-28
Copilot,Marketing,Forum,no,2026-07-10
Claude,AI,Other,no,2026-06-30
Copilot,AI,Forum,yes,2026-08-17
Claude,Marketing,Other,yes,2026-06-08
Perplexity,Marketing,Brand,no,2026-07-29
Perplexity,Marketing,Brand,yes,2026-05-26
Perplexity,AI,State,no,2026-08-13
Perplexity,Marketing,Forum,yes,2026-08-23
Perplexity,Training,Forum,yes,2026-09-01
ChatGPT,Training,Forum,yes,2026-07-08
ChatGPT,Marketing,Brand,yes,2026-08-28
Google AI,Training,Brand,no,2026-08-31
ChatGPT,Marketing,Other,yes,2026-07-24
Perplexity,Marketing,Forum,yes,2026-08-13
ChatGPT,AI,Forum,no,2026-05-27
Claude,Training,Brand,yes,2026-06-06
Claude,AI,Other,yes,2026-06-30
ChatGPT,AI,Brand,no,2026-06-18
Copilot,Training,Forum,no,2026-06-12
Claude,Training,Other,no,2026-07-23
Perplexity,AI,Other,no,2026-09-11
ChatGPT,AI,Brand,no,2026-05-23
Copilot,AI,Forum,no,2026-06-26
Perplexity,Training,Other,no,2026-06-21
Perplexity,Marketing,State,yes,2026-08-23
Perplexity,AI,Other,no,2026-09-04
Google AI,Training,Forum,no,2026-09-06
Claude,AI,Forum,yes,2026-06-29
Perplexity,AI,State,yes,2026-07-18
Copilot,Marketing,State,no,2026-07-17
Perplexity,Marketing,Forum,no,2026-07-14
Google AI,AI,Other,no,2026-05-20
Copilot,AI,Brand,yes,2026-07-23
Perplexity,Training,Forum,yes,2026-06-19
Google AI,AI,Forum,no,2026-09-10
Claude,Marketing,Other,yes,2026-05-19
ChatGPT,Training,State,no,2026-08-01
Copilot,Marketing,Brand,yes,2026-07-25
Copilot,Marketing,Other,no,2026-06-29
Claude,Training,Other,yes,2026-06-10
ChatGPT,Training,State,yes,2026-06-18
Copilot,Marketing,Other,no,2026-07-28
Claude,Marketing,State,no,2026-06-21
Copilot,Marketing,Other,yes,2026-08-19
Copilot,AI,Other,no,2026-05-24
ChatGPT,AI,Brand,yes,2026-09-14
ChatGPT,Training,Other,no,2026-07-12
Copilot,AI,Brand,no,2026-06-27
Claude,Marketing,State,no,2026-06-24
Perplexity,AI,Forum,no,2026-07-18
Perplexity,Marketing,Forum,yes,2026-08-25
Google AI,Training,State,yes,2026-06-27
Perplexity,AI,Other,no,2026-07-26
Google AI,AI,Other,yes,2026-05-25
Copilot,Marketing,Brand,yes,2026-08-22
Claude,Training,Forum,no,2026-07-23
Perplexity,AI,Forum,no,2026-07-23
Claude,AI,Forum,yes,2026-05-19
Copilot,AI,Other,yes,2026-08-04
ChatGPT,Training,Brand,no,2026-06-06
Google AI,AI,Other,yes,2026-09-12
Copilot,Marketing,Forum,no,2026-08-28
Perplexity,AI,State,no,2026-07-19
Claude,Marketing,Forum,yes,2026-07-02
Claude,Marketing,Forum,yes,2026-07-22
Perplexity,AI,Other,no,2026-09-08
Perplexity,Marketing,Other,no,2026-06-18
Perplexity,AI,State,no,2026-05-30
Copilot,AI,Forum,yes,2026-05-25
ChatGPT,AI,Forum,no,2026-07-11
ChatGPT,Training,Brand,no,2026-09-01
Perplexity,Marketing,Other,yes,2026-09-05
Copilot,Marketing,Forum,no,2026-07-17
Copilot,Marketing,Other,no,2026-06-22
Perplexity,AI,Brand,no,2026-08-14
Copilot,AI,Other,yes,2026-06-08
Claude,Marketing,Other,yes,2026-08-07
Google AI,Marketing,Other,yes,2026-09-07
Perplexity,AI,Other,no,2026-05-24
Perplexity,Marketing,Other,yes,2026-08-21
Perplexity,Marketing,Other,yes,2026-05-21
Perplexity,AI,Other,yes,2026-07-04
Perplexity,AI,Other,yes,2026-06-29
Claude,Training,State,yes,2026-06-04
Copilot,AI,Forum,no,2026-06-18
Claude,Marketing,Forum,yes,2026-07-15
Claude,Marketing,Brand,yes,2026-06-25
ChatGPT,AI,Forum,yes,2026-09-05
Perplexity,AI,Brand,yes,2026-05-29
Copilot,AI,Other,no,2026-07-02
Claude,AI,Other,no,2026-07-22
Claude,AI,Brand,no,2026-05-24
ChatGPT,Marketing,Forum,yes,2026-08-03
Perplexity,Marketing,Other,yes,2026-06-04
Google AI,Marketing,Forum,yes,2026-08-10
Claude,Marketing,Other,no,2026-08-08
ChatGPT,Marketing,Forum,no,2026-06-27
Perplexity,AI,Other,yes,2026-09-07
Copilot,AI,Forum,no,2026-07-04
Copilot,AI,Other,no,2026-07-02
ChatGPT,Marketing,Forum,no,2026-08-07
Perplexity,AI,Forum,yes,2026-09-05
Google AI,Training,Forum,yes,2026-07-04
ChatGPT,Training,Brand,no,2026-08-23
Claude,AI,Other,no,2026-07-08
Google AI,Marketing,Forum,no,2026-07-06
Claude,Marketing,Brand,yes,2026-06-21
Claude,AI,Forum,no,2026-05-25
Claude,Marketing,Forum,no,2026-09-03
Perplexity,AI,Forum,yes,2026-08-24
Claude,Marketing,Other,no,2026-08-06
Google AI,AI,Other,yes,2026-05-28
Perplexity,Marketing,State,yes,2026-05-23
Claude,Marketing,State,no,2026-06-19
Copilot,AI,Brand,no,2026-08-02
Google AI,Marketing,Other,no,2026-08-04
Copilot,AI,Other,no,2026-06-07
Claude,Marketing,Forum,yes,2026-09-08
ChatGPT,Marketing,Forum,no,2026-06-30
Claude,Marketing,Other,no,2026-08-21
Google AI,Training,Forum,no,2026-06-16
Copilot,Marketing,Other,no,2026-08-22
Claude,AI,Forum,yes,2026-07-20
Perplexity,Marketing,Other,yes,2026-08-29
Claude,AI,Brand,yes,2026-08-19
Claude,Training,State,yes,2026-07-30
Copilot,AI,Other,yes,2026-06-27
Copilot,AI,Other,yes,2026-05-23
ChatGPT,Training,Brand,yes,2026-06-30
Perplexity,AI,Forum,yes,2026-06-05
Perplexity,AI,Forum,yes,2026-08-09
Perplexity,Marketing,Other,no,2026-08-13
ChatGPT,AI,Other,yes,2026-05-20
Perplexity,AI,State,no,2026-09-13
Perplexity,Training,Forum,yes,2026-08-01
Copilot,AI,Brand,no,2026-06-04
Claude,AI,Other,yes,2026-07-09
Copilot,Marketing,Other,no,2026-06-05
Google AI,Marketing,Other,no,2026-08-08
Perplexity,AI,State,no,2026-08-18
Claude,Marketing,Forum,no,2026-07-29
Copilot,Marketing,Other,yes,2026-09-10
Copilot,Marketing,Other,yes,2026-06-30
Perplexity,AI,Forum,yes,2026-09-03
Perplexity,Marketing,Forum,no,2026-07-25
Google AI,AI,Other,no,2026-08-06
ChatGPT,AI,Brand,no,2026-07-21
ChatGPT,AI,Brand,no,2026-05-27
Perplexity,Marketing,Other,yes,2026-08-14
Copilot,AI,Forum,no,2026-05-27
Claude,Marketing,State,yes,2026-08-16
Perplexity,AI,Other,no,2026-05-25
Claude,Marketing,Brand,yes,2026-07-05
Google AI,AI,Brand,yes,2026-07-08
Google AI,Training,State,no,2026-06-22
Copilot,Marketing,Other,no,2026-06-12
Perplexity,AI,Forum,yes,2026-08-18
Claude,AI,Forum,yes,2026-07-22
Google AI,AI,Forum,yes,2026-07-24
Claude,AI,Forum,no,2026-09-11
Perplexity,AI,Forum,no,2026-07-30
ChatGPT,AI,Forum,no,2026-08-29
Perplexity,AI,Forum,yes,2026-08-06
Claude,Marketing,Other,no,2026-05-24
ChatGPT,Marketing,Forum,yes,2026-08-26
Perplexity,AI,Other,no,2026-07-20
Perplexity,Marketing,Forum,no,2026-07-02
Google AI,Marketing,Other,no,2026-09-08
Google AI,AI,Other,yes,2026-09-06
Perplexity,Training,Forum,no,2026-06-15
Copilot,Marketing,Forum,no,2026-06-23
Google AI,AI,Other,no,2026-06-28
ChatGPT,Marketing,Other,no,2026-08-27
Perplexity,AI,Forum,yes,2026-08-04
Copilot,Marketing,Other,yes,2026-09-06
Perplexity,Marketing,Brand,yes,2026-08-13
Copilot,AI,Brand,no,2026-06-16
Claude,AI,Forum,yes,2026-05-25
Perplexity,AI,Forum,yes,2026-07-15
ChatGPT,AI,Forum,no,2026-09-10
Claude,Marketing,Other,no,2026-07-09
Google AI,Marketing,Other,no,2026-08-06
Perplexity,Training,Forum,yes,2026-07-13
Copilot,AI,Forum,yes,2026-06-30
Copilot,Marketing,Forum,no,2026-06-20
Google AI,Marketing,Other,yes,2026-06-09
Google AI,AI,Forum,yes,2026-06-19
Copilot,Training,Other,yes,2026-07-12
ChatGPT,AI,Other,yes,2026-07-27
Perplexity,AI,Forum,no,2026-07-19
Perplexity,AI,Forum,yes,2026-07-14
Perplexity,AI,Forum,yes,2026-08-05
Claude,AI,Other,no,2026-06-15
Perplexity,Marketing,Forum,yes,2026-08-02
Perplexity,Marketing,State,yes,2026-07-22
Claude,Marketing,Brand,no,2026-09-14
Copilot,AI,Forum,yes,2026-06-11
Copilot,AI,Forum,no,2026-05-21
Google AI,Training,Forum,no,2026-09-07
Perplexity,Marketing,Other,no,2026-06-01
Copilot,Marketing,State,no,2026-05-30
ChatGPT,Training,Other,yes,2026-07-29
Google AI,AI,State,no,2026-06-19
Copilot,AI,Forum,yes,2026-08-27
Perplexity,Training,Other,no,2026-09-10
ChatGPT,AI,Other,yes,2026-08-13
ChatGPT,Marketing,Forum,yes,2026-08-21
Copilot,AI,Forum,no,2026-08-01
Perplexity,AI,Forum,yes,2026-05-28
Perplexity,AI,Forum,yes,2026-07-27
Perplexity,AI,State,yes,2026-06-09
ChatGPT,Marketing,Other,yes,2026-07-17
ChatGPT,Marketing,Other,no,2026-06-11
Copilot,AI,Brand,yes,2026-07-05
Copilot,Marketing,Other,yes,2026-08-14
Copilot,Training,Forum,no,2026-06-25
Perplexity,AI,Brand,no,2026-09-06
Copilot,Marketing,Forum,yes,2026-08-06
Perplexity,AI,Forum,no,2026-06-15
ChatGPT,AI,Forum,yes,2026-08-01
Perplexity,Marketing,Forum,no,2026-07-18
Claude,AI,Brand,no,2026-06-19
Perplexity,Training,Brand,yes,2026-06-04
Perplexity,Marketing,Brand,no,2026-07-17
Claude,Marketing,Forum,yes,2026-06-05
Copilot,Marketing,Other,yes,2026-09-10
Perplexity,AI,State,yes,2026-07-28
Perplexity,Marketing,Other,yes,2026-08-12
Perplexity,Marketing,Other,no,2026-07-08
Google AI,AI,Brand,no,2026-07-19
Perplexity,AI,Brand,yes,2026-08-17
Claude,Marketing,Other,yes,2026-08-23
Claude,Marketing,State,no,2026-08-23
Claude,AI,Other,yes,2026-08-12
Claude,AI,Brand,no,2026-08-03
Perplexity,AI,Other,yes,2026-06-08
Perplexity,Marketing,Forum,no,2026-08-02
Claude,AI,State,no,2026-07-26
Claude,Marketing,Forum,no,2026-08-18
ChatGPT,Marketing,Other,yes,2026-08-12
Copilot,AI,Brand,no,2026-06-10
Perplexity,Marketing,Other,yes,2026-06-13
Perplexity,AI,Brand,no,2026-05-28
Google AI,AI,Brand,yes,2026-09-13
Google AI,AI,Other,no,2026-06-16
Copilot,AI,State,yes,2026-07-14
Perplexity,Marketing,Other,no,2026-07-05
Copilot,Marketing,State,no,2026-09-07
Perplexity,AI,Other,yes,2026-07-25
Perplexity,AI,Brand,yes,2026-08-04
ChatGPT,AI,Forum,no,2026-06-28
Copilot,Marketing,Other,yes,2026-06-30
Copilot,Training,Other,yes,2026-08-06
ChatGPT,Marketing,Forum,no,2026-05-31
Copilot,AI,Other,yes,2026-05-24
Perplexity,AI,Other,no,2026-07-28
Google AI,Training,Other,yes,2026-06-17
Copilot,Marketing,Other,yes,2026-06-20
Claude,AI,Other,no,2026-08-18
Google AI,AI,Other,no,2026-09-09
Google AI,Marketing,Forum,no,2026-05-27
Google AI,AI,Forum,yes,2026-06-28
Google AI,Training,Other,no,2026-06-14
Copilot,Marketing,Forum,no,2026-05-27
Google AI,AI,Forum,yes,2026-06-22
Perplexity,AI,State,no,2026-08-26
ChatGPT,Marketing,Forum,yes,2026-06-25
Claude,Marketing,Other,yes,2026-08-25
Claude,Marketing,Other,no,2026-06-25
Perplexity,AI,Forum,no,2026-09-05
Perplexity,AI,Forum,yes,2026-09-02
Claude,Marketing,Forum,no,2026-07-27
Claude,Marketing,State,yes,2026-05-31
Copilot,AI,Brand,yes,2026-06-14
Google AI,Marketing,Forum,no,2026-07-22
Perplexity,Marketing,Other,yes,2026-06-18
Copilot,Marketing,Forum,yes,2026-05-18
Perplexity,AI,Other,no,2026-08-06
Perplexity,Marketing,Forum,no,2026-05-30
Copilot,AI,Forum,yes,2026-07-10
Copilot,AI,Forum,yes,2026-07-07
Copilot,Marketing,Forum,yes,2026-05-19
Copilot,Marketing,Other,yes,2026-06-12
Google AI,AI,Forum,no,2026-09-06
Copilot,AI,Other,yes,2026-06-30
Perplexity,AI,Forum,no,2026-08-07
Copilot,Marketing,Forum,yes,2026-06-05
ChatGPT,AI,Forum,no,2026-08-14
Copilot,Marketing,Other,yes,2026-06-24
Copilot,Marketing,Other,yes,2026-08-03
Copilot,AI,Other,no,2026-09-14
Claude,Marketing,Other,yes,2026-06-13
Copilot,AI,Brand,no,2026-06-05
Claude,AI,Other,no,2026-07-05
ChatGPT,AI,Brand,yes,2026-05-28
Claude,AI,Forum,no,2026-08-28
Perplexity,Marketing,Other,no,2026-05-20
Copilot,AI,Brand,yes,2026-08-22
Claude,Marketing,Other,no,2026-06-28
Perplexity,AI,Forum,no,2026-06-28
Claude,AI,Forum,no,2026-08-06
ChatGPT,Training,Forum,no,2026-09-13
Claude,Marketing,Other,yes,2026-07-13
Copilot,Training,State,yes,2026-05-30
Copilot,AI,Other,no,2026-08-14
Claude,AI,Brand,no,2026-05-20
Copilot,Marketing,Other,no,2026-08-19
Perplexity,Marketing,State,no,2026-07-24
Claude,Marketing,Forum,yes,2026-08-26
Copilot,Marketing,Other,no,2026-08-05
Copilot,Marketing,Forum,no,2026-06-14
Claude,Marketing,Forum,no,2026-07-04
Claude,Marketing,Other,yes,2026-05-30
Claude,AI,State,yes,2026-05-27
Claude,Marketing,Brand,yes,2026-07-29
Copilot,AI,Brand,yes,2026-08-11
Perplexity,Marketing,Forum,yes,2026-07-31
Perplexity,AI,State,yes,2026-08-21
Copilot,AI,Forum,no,2026-06-18
Copilot,Marketing,Other,yes,2026-08-04
Copilot,Marketing,Other,no,2026-09-05
Perplexity,Training,Forum,no,2026-06-26
Perplexity,AI,Other,yes,2026-07-24
Perplexity,Marketing,Brand,no,2026-06-03
Perplexity,AI,Forum,no,2026-09-14
Copilot,AI,Forum,yes,2026-08-22
Copilot,Marketing,Other,no,2026-07-07
Perplexity,Marketing,Brand,no,2026-07-22
Copilot,AI,Other,no,2026-05-25
Perplexity,AI,Forum,yes,2026-08-17
Copilot,AI,State,no,2026-06-16
Perplexity,AI,Other,yes,2026-07-08
Claude,AI,Forum,no,2026-08-05
Claude,AI,Other,no,2026-07-18
Perplexity,Marketing,State,no,2026-08-04
