sector,made_with_ai,brand_2s,distinctive,one_message,scored
Financial services,yes,no,yes,no,2026-05-30
Tourism and hospitality,yes,yes,no,no,2026-09-08
Education,yes,yes,yes,no,2026-08-21
Education,no,yes,no,no,2026-08-15
Financial services,no,no,no,yes,2026-07-12
Tourism and hospitality,no,yes,no,yes,2026-09-07
Tourism and hospitality,yes,yes,no,no,2026-07-13
Tax and accounting,yes,no,yes,no,2026-08-09
Tourism and hospitality,no,yes,no,no,2026-05-28
Public sector,yes,yes,no,no,2026-06-04
Tourism and hospitality,yes,yes,no,yes,2026-07-06
Public sector,yes,yes,no,yes,2026-09-03
Tax and accounting,no,no,no,no,2026-08-04
Financial services,yes,no,yes,no,2026-06-08
Tourism and hospitality,no,no,no,yes,2026-07-27
Public sector,no,yes,no,no,2026-07-07
Tourism and hospitality,yes,no,yes,yes,2026-06-28
Public sector,yes,yes,yes,no,2026-07-11
Education,no,yes,yes,yes,2026-06-06
Tourism and hospitality,no,yes,no,no,2026-05-25
Tourism and hospitality,yes,yes,yes,yes,2026-08-08
Tourism and hospitality,yes,no,yes,yes,2026-08-08
Public sector,no,no,yes,no,2026-08-14
Tourism and hospitality,yes,no,yes,no,2026-08-08
Tax and accounting,yes,yes,no,yes,2026-05-24
Tourism and hospitality,no,yes,yes,no,2026-08-15
Education,no,no,yes,yes,2026-06-07
Education,yes,no,yes,yes,2026-06-06
Tax and accounting,yes,yes,yes,yes,2026-07-04
Tourism and hospitality,no,yes,yes,no,2026-06-09
Tourism and hospitality,no,yes,no,yes,2026-07-07
Tourism and hospitality,no,no,no,no,2026-06-19
Tourism and hospitality,yes,yes,yes,no,2026-07-27
Tourism and hospitality,no,yes,yes,yes,2026-07-10
Public sector,yes,no,yes,no,2026-07-24
Tourism and hospitality,yes,yes,no,yes,2026-06-10
Financial services,no,no,no,no,2026-07-03
Financial services,no,yes,no,yes,2026-06-08
Tourism and hospitality,no,no,no,yes,2026-06-22
Tourism and hospitality,no,yes,no,yes,2026-08-06
Tourism and hospitality,yes,yes,yes,no,2026-09-13
Tourism and hospitality,yes,no,yes,yes,2026-08-03
Tourism and hospitality,yes,yes,no,yes,2026-06-16
Financial services,yes,yes,yes,no,2026-08-23
Financial services,yes,yes,yes,yes,2026-08-04
Tourism and hospitality,yes,yes,yes,no,2026-06-27
Tax and accounting,no,no,yes,no,2026-07-28
Tourism and hospitality,no,yes,no,yes,2026-08-04
Financial services,yes,no,yes,no,2026-07-03
Tourism and hospitality,no,no,yes,no,2026-09-19
Tourism and hospitality,no,no,no,yes,2026-06-27
Tourism and hospitality,no,no,no,no,2026-07-11
Tourism and hospitality,yes,no,yes,no,2026-06-10
Tourism and hospitality,no,yes,yes,yes,2026-06-11
Tourism and hospitality,no,yes,no,yes,2026-08-23
Education,no,yes,yes,no,2026-06-21
Public sector,no,no,yes,yes,2026-09-19
Public sector,no,no,no,yes,2026-09-04
Tourism and hospitality,no,no,yes,no,2026-08-26
Tourism and hospitality,no,yes,yes,yes,2026-09-01
Tourism and hospitality,no,yes,no,no,2026-07-14
Education,no,no,yes,yes,2026-09-11
Tourism and hospitality,yes,no,no,yes,2026-06-28
Tourism and hospitality,yes,no,no,no,2026-09-18
Tourism and hospitality,no,no,yes,yes,2026-06-28
Tax and accounting,yes,no,no,yes,2026-09-11
Public sector,no,yes,yes,yes,2026-07-28
Financial services,yes,no,yes,yes,2026-07-21
Education,no,no,yes,yes,2026-09-12
Tourism and hospitality,yes,yes,no,no,2026-05-31
Tourism and hospitality,yes,no,yes,yes,2026-05-26
Tourism and hospitality,yes,yes,no,no,2026-07-26
Tourism and hospitality,no,yes,no,yes,2026-05-28
Tourism and hospitality,no,no,no,yes,2026-06-14
Tourism and hospitality,yes,no,no,yes,2026-06-01
Tourism and hospitality,no,yes,no,yes,2026-08-18
Public sector,no,no,no,no,2026-06-22
Tourism and hospitality,yes,no,yes,no,2026-09-13
Tourism and hospitality,no,no,yes,no,2026-07-28
Tourism and hospitality,no,yes,yes,yes,2026-06-26
Tourism and hospitality,no,no,no,no,2026-07-28
Tourism and hospitality,yes,no,no,yes,2026-05-26
Tax and accounting,yes,yes,yes,no,2026-08-17
Public sector,yes,no,no,no,2026-07-11
Tourism and hospitality,yes,no,yes,no,2026-07-28
Tourism and hospitality,no,yes,yes,no,2026-08-27
Public sector,no,yes,no,yes,2026-08-22
Education,yes,yes,no,yes,2026-06-26
Tourism and hospitality,no,yes,yes,no,2026-09-18
Public sector,yes,no,no,yes,2026-06-08
Tourism and hospitality,no,no,no,no,2026-09-07
Tourism and hospitality,no,yes,no,yes,2026-09-18
Tourism and hospitality,no,no,no,no,2026-08-01
Financial services,yes,yes,yes,no,2026-06-28
Education,yes,no,yes,yes,2026-07-09
Education,no,yes,no,yes,2026-08-28
Tax and accounting,yes,no,yes,yes,2026-07-15
Financial services,no,yes,yes,yes,2026-05-29
Tourism and hospitality,no,no,yes,no,2026-09-15
Tourism and hospitality,yes,no,no,no,2026-07-01
Financial services,no,no,no,no,2026-05-28
Tourism and hospitality,no,yes,no,yes,2026-06-10
Public sector,yes,no,yes,yes,2026-05-24
Tourism and hospitality,yes,no,no,yes,2026-09-01
Tourism and hospitality,yes,yes,yes,yes,2026-06-24
Public sector,yes,no,yes,no,2026-07-28
Public sector,yes,no,yes,yes,2026-06-15
Education,no,yes,no,yes,2026-09-12
Education,yes,no,no,no,2026-09-16
Education,no,no,no,no,2026-08-13
Tourism and hospitality,yes,no,yes,no,2026-06-19
Tourism and hospitality,yes,yes,yes,yes,2026-07-24
Tourism and hospitality,no,no,yes,yes,2026-07-19
Public sector,no,yes,no,no,2026-06-23
Public sector,no,yes,yes,yes,2026-09-15
Tourism and hospitality,yes,yes,no,no,2026-07-03
Education,no,no,yes,no,2026-08-19
Tourism and hospitality,no,yes,no,no,2026-06-24
Tourism and hospitality,yes,no,yes,yes,2026-07-24
Public sector,no,no,yes,yes,2026-06-15
Public sector,no,yes,no,yes,2026-08-28
Education,yes,yes,yes,no,2026-08-06
Tourism and hospitality,yes,yes,yes,no,2026-08-24
Public sector,yes,no,no,yes,2026-07-20
Tax and accounting,yes,yes,yes,no,2026-07-12
Tourism and hospitality,yes,no,yes,no,2026-09-17
Financial services,yes,yes,no,no,2026-08-30
Public sector,yes,no,no,no,2026-09-16
Public sector,yes,no,no,yes,2026-06-30
Education,no,no,yes,no,2026-06-18
Public sector,yes,yes,yes,no,2026-07-12
Tourism and hospitality,no,yes,yes,no,2026-09-15
Tourism and hospitality,yes,no,no,no,2026-09-02
Tourism and hospitality,yes,no,no,yes,2026-08-13
Public sector,yes,no,yes,no,2026-07-03
Education,yes,no,yes,yes,2026-07-25
Public sector,yes,no,yes,no,2026-06-17
Tourism and hospitality,yes,yes,no,no,2026-07-04
Education,no,no,no,yes,2026-05-24
Tourism and hospitality,yes,yes,no,no,2026-08-09
Public sector,no,no,no,yes,2026-07-11
Tourism and hospitality,yes,no,yes,no,2026-09-17
Tourism and hospitality,no,no,no,no,2026-07-19
Tourism and hospitality,no,no,yes,no,2026-08-19
Tax and accounting,yes,yes,yes,no,2026-07-10
Tourism and hospitality,no,yes,yes,no,2026-09-13
Tourism and hospitality,no,yes,yes,yes,2026-06-27
Tourism and hospitality,yes,yes,yes,yes,2026-08-23
Tourism and hospitality,yes,yes,yes,no,2026-07-03
Tourism and hospitality,no,no,yes,yes,2026-09-06
Tourism and hospitality,yes,no,no,yes,2026-06-21
Tourism and hospitality,yes,yes,yes,no,2026-08-06
Tourism and hospitality,no,yes,no,no,2026-07-13
Tourism and hospitality,no,no,no,yes,2026-09-20
Education,yes,no,yes,no,2026-06-11
Education,no,yes,yes,no,2026-05-25
Education,yes,yes,no,no,2026-08-10
Tourism and hospitality,no,yes,yes,no,2026-09-16
Tourism and hospitality,no,yes,yes,no,2026-08-29
Tax and accounting,yes,no,no,yes,2026-06-23
Education,yes,yes,yes,yes,2026-06-29
Tourism and hospitality,yes,no,yes,no,2026-07-20
Education,no,no,no,no,2026-08-31
Financial services,yes,yes,yes,no,2026-09-02
Tourism and hospitality,yes,yes,yes,yes,2026-08-15
Financial services,yes,yes,no,yes,2026-09-11
Tourism and hospitality,no,yes,yes,no,2026-06-12
Tourism and hospitality,no,yes,no,no,2026-06-03
Tourism and hospitality,no,yes,yes,no,2026-06-28
Tax and accounting,yes,no,no,yes,2026-08-23
Tax and accounting,yes,yes,yes,no,2026-08-29
Tourism and hospitality,no,no,yes,no,2026-06-28
Tourism and hospitality,yes,yes,no,no,2026-09-18
Public sector,no,yes,yes,no,2026-07-31
Financial services,no,yes,yes,no,2026-09-09
Tourism and hospitality,yes,no,no,no,2026-06-29
Tourism and hospitality,no,no,no,no,2026-09-16
Tourism and hospitality,no,yes,yes,yes,2026-07-12
Education,yes,yes,no,yes,2026-07-04
Education,yes,yes,yes,yes,2026-06-11
Financial services,no,yes,no,yes,2026-06-03
Public sector,yes,yes,no,yes,2026-06-30
Financial services,no,yes,no,yes,2026-07-02
Tourism and hospitality,no,no,no,no,2026-05-24
Tourism and hospitality,no,yes,no,yes,2026-08-27
Tax and accounting,no,yes,no,no,2026-07-14
Tourism and hospitality,no,yes,no,yes,2026-05-26
Tax and accounting,yes,yes,no,yes,2026-08-01
Tourism and hospitality,yes,no,yes,no,2026-08-16
Tourism and hospitality,no,no,yes,yes,2026-06-16
Tourism and hospitality,yes,no,yes,yes,2026-09-05
Financial services,yes,no,yes,yes,2026-07-18
Tourism and hospitality,yes,no,no,no,2026-08-31
Tax and accounting,no,yes,no,yes,2026-08-03
Tourism and hospitality,no,no,no,yes,2026-09-16
Tourism and hospitality,no,yes,no,yes,2026-08-14
Public sector,yes,yes,no,no,2026-08-23
Public sector,no,yes,no,no,2026-07-18
Education,yes,no,no,yes,2026-09-17
Public sector,no,no,no,yes,2026-08-26
Tourism and hospitality,yes,yes,yes,yes,2026-07-11
Tax and accounting,yes,yes,yes,no,2026-09-09
Tourism and hospitality,yes,yes,yes,yes,2026-09-20
Tourism and hospitality,no,no,yes,no,2026-07-25
Tourism and hospitality,yes,yes,yes,no,2026-06-14
Tourism and hospitality,yes,yes,yes,no,2026-06-29
Financial services,no,yes,no,no,2026-06-11
Public sector,yes,no,yes,yes,2026-08-29
Tourism and hospitality,no,no,yes,no,2026-06-20
Tax and accounting,no,yes,no,yes,2026-06-21
Public sector,no,no,no,yes,2026-08-10
Tourism and hospitality,yes,yes,no,yes,2026-08-13
Tourism and hospitality,no,no,no,no,2026-06-12
Tax and accounting,yes,yes,yes,yes,2026-06-05
Tourism and hospitality,yes,no,no,yes,2026-08-16
Tourism and hospitality,no,yes,no,yes,2026-07-19
Tourism and hospitality,no,yes,no,no,2026-07-26
Tourism and hospitality,no,no,no,no,2026-08-04
Tourism and hospitality,yes,yes,no,yes,2026-06-06
Tourism and hospitality,no,no,yes,yes,2026-06-04
Tourism and hospitality,no,yes,yes,yes,2026-06-27
Tax and accounting,no,no,no,no,2026-08-25
Tourism and hospitality,no,yes,no,no,2026-06-08
Tourism and hospitality,yes,no,yes,yes,2026-07-11
Education,no,yes,yes,yes,2026-07-02
Tourism and hospitality,yes,yes,no,no,2026-05-31
Tourism and hospitality,yes,yes,yes,yes,2026-08-11
Tourism and hospitality,yes,yes,yes,no,2026-06-12
Financial services,no,yes,no,no,2026-08-21
Tourism and hospitality,yes,no,no,no,2026-08-11
Tourism and hospitality,no,yes,no,no,2026-08-03
Education,yes,yes,no,yes,2026-08-27
Financial services,no,no,no,yes,2026-06-13
Education,no,yes,yes,no,2026-08-16
Tourism and hospitality,no,no,no,yes,2026-07-28
Public sector,no,no,yes,no,2026-08-05
Financial services,yes,no,no,yes,2026-08-30
Tourism and hospitality,no,no,yes,no,2026-08-01
Tax and accounting,yes,yes,no,yes,2026-08-05
Financial services,no,yes,yes,yes,2026-08-21
Tourism and hospitality,no,no,yes,yes,2026-09-15
Tourism and hospitality,no,yes,no,yes,2026-06-30
Tourism and hospitality,no,yes,yes,no,2026-08-18
Tax and accounting,yes,no,yes,no,2026-09-15
Financial services,no,no,no,no,2026-06-03
Tourism and hospitality,yes,no,yes,no,2026-05-26
Financial services,no,no,no,no,2026-09-05
Tourism and hospitality,no,no,no,yes,2026-07-24
Tourism and hospitality,yes,no,yes,no,2026-07-28
Education,no,yes,yes,yes,2026-06-08
Tourism and hospitality,yes,yes,yes,yes,2026-07-01
Tax and accounting,no,no,no,no,2026-08-05
Tax and accounting,yes,no,yes,yes,2026-06-01
Tourism and hospitality,no,yes,no,no,2026-05-27
Tourism and hospitality,yes,no,yes,no,2026-06-17
Tourism and hospitality,no,no,no,yes,2026-09-11
Tourism and hospitality,no,no,no,no,2026-09-14
Tourism and hospitality,yes,yes,no,no,2026-06-25
Tax and accounting,no,no,yes,yes,2026-09-20
Tourism and hospitality,no,no,no,yes,2026-06-12
Tourism and hospitality,yes,yes,yes,no,2026-08-28
Tourism and hospitality,yes,no,no,no,2026-07-24
Tourism and hospitality,yes,yes,yes,no,2026-06-20
Tourism and hospitality,yes,yes,yes,yes,2026-06-04
Education,yes,no,no,yes,2026-08-30
Tourism and hospitality,yes,yes,yes,yes,2026-09-07
Education,no,no,no,no,2026-09-11
Tourism and hospitality,yes,no,yes,yes,2026-09-11
Tourism and hospitality,yes,yes,yes,no,2026-06-12
Tourism and hospitality,yes,yes,yes,yes,2026-08-17
Education,no,no,no,yes,2026-06-15
Financial services,no,no,no,yes,2026-07-25
Tourism and hospitality,yes,no,yes,no,2026-08-24
Tourism and hospitality,no,yes,no,yes,2026-08-09
Tourism and hospitality,yes,yes,no,no,2026-07-14
Tourism and hospitality,no,yes,no,no,2026-08-23
Tourism and hospitality,yes,no,no,no,2026-07-21
Tax and accounting,yes,no,no,yes,2026-09-10
Public sector,yes,no,yes,no,2026-08-27
Tourism and hospitality,yes,yes,yes,no,2026-06-16
Tourism and hospitality,no,no,yes,no,2026-06-19
Tourism and hospitality,yes,no,no,no,2026-08-03
Financial services,yes,yes,yes,no,2026-05-26
Tax and accounting,no,no,no,yes,2026-08-13
Tourism and hospitality,no,no,yes,yes,2026-07-25
Tourism and hospitality,no,yes,no,no,2026-09-04
Public sector,no,yes,no,no,2026-06-10
Education,yes,yes,yes,yes,2026-08-11
Tourism and hospitality,yes,yes,no,yes,2026-09-08
Tax and accounting,no,no,yes,yes,2026-08-07
Tourism and hospitality,no,no,no,yes,2026-06-18
Tourism and hospitality,no,no,yes,yes,2026-05-25
Tax and accounting,no,yes,yes,no,2026-08-06
Education,no,no,no,yes,2026-07-05
Education,no,no,yes,no,2026-06-07
Public sector,yes,yes,yes,no,2026-06-18
Tax and accounting,yes,yes,no,no,2026-06-09
Public sector,no,yes,no,no,2026-07-13
Financial services,yes,yes,no,yes,2026-06-18
Tourism and hospitality,yes,yes,no,yes,2026-08-21
Education,no,yes,no,no,2026-05-29
Tourism and hospitality,yes,no,no,no,2026-06-23
Tax and accounting,yes,yes,no,yes,2026-08-30
Tourism and hospitality,yes,yes,no,yes,2026-07-19
Tourism and hospitality,yes,no,yes,yes,2026-06-24
Tourism and hospitality,no,yes,yes,yes,2026-09-12
Tourism and hospitality,no,yes,yes,yes,2026-07-22
Education,yes,yes,no,yes,2026-07-13
Tourism and hospitality,yes,no,no,no,2026-09-03
Tourism and hospitality,no,no,yes,yes,2026-06-11
Financial services,no,yes,no,no,2026-07-09
Education,yes,no,no,no,2026-07-24
Tourism and hospitality,no,no,yes,no,2026-07-23
Tourism and hospitality,yes,yes,no,no,2026-08-13
Public sector,no,yes,no,yes,2026-09-15
Tourism and hospitality,yes,yes,yes,yes,2026-08-03
Tourism and hospitality,no,yes,yes,no,2026-06-23
Tourism and hospitality,yes,no,no,yes,2026-07-18
Tourism and hospitality,no,yes,yes,no,2026-07-26
Financial services,no,no,yes,no,2026-08-23
Tourism and hospitality,yes,yes,yes,no,2026-07-20
Education,yes,yes,yes,no,2026-06-06
Tax and accounting,yes,no,no,no,2026-07-17
Public sector,yes,no,no,no,2026-06-23
Education,yes,no,no,yes,2026-09-20
Tourism and hospitality,no,no,yes,no,2026-06-18
Tourism and hospitality,yes,yes,no,yes,2026-06-16
Education,no,yes,no,yes,2026-05-28
Financial services,yes,no,yes,yes,2026-09-08
Tourism and hospitality,yes,yes,yes,no,2026-07-31
Tourism and hospitality,no,yes,yes,yes,2026-06-08
Tourism and hospitality,no,yes,yes,no,2026-07-27
Tourism and hospitality,no,no,yes,no,2026-07-06
Financial services,no,yes,yes,no,2026-09-07
Tourism and hospitality,no,no,no,yes,2026-08-12
Tax and accounting,no,yes,no,no,2026-07-16
Tax and accounting,yes,yes,no,yes,2026-08-10
Tourism and hospitality,yes,no,yes,no,2026-09-02
Tax and accounting,no,no,yes,yes,2026-05-28
Education,yes,yes,no,yes,2026-08-28
Tax and accounting,yes,no,yes,yes,2026-08-17
Education,yes,no,yes,yes,2026-08-27
Education,no,yes,no,yes,2026-05-27
Tourism and hospitality,yes,yes,no,yes,2026-07-23
Public sector,yes,yes,no,no,2026-07-09
Tourism and hospitality,no,yes,yes,yes,2026-09-07
Financial services,yes,yes,no,no,2026-06-16
Tourism and hospitality,yes,no,yes,yes,2026-09-18
Tourism and hospitality,yes,yes,yes,no,2026-07-09
Tourism and hospitality,yes,yes,yes,no,2026-07-29
Tourism and hospitality,no,yes,no,no,2026-07-15
Education,no,no,no,no,2026-09-07
Public sector,yes,no,no,yes,2026-08-08
Financial services,no,no,no,no,2026-06-26
Education,no,yes,yes,no,2026-06-14
Public sector,yes,no,yes,yes,2026-06-17
Tourism and hospitality,yes,yes,yes,yes,2026-06-10
Tourism and hospitality,yes,yes,yes,yes,2026-06-04
Tax and accounting,no,no,yes,no,2026-08-13
Financial services,no,no,no,no,2026-09-09
Tourism and hospitality,yes,yes,no,no,2026-07-22
Tourism and hospitality,no,yes,yes,yes,2026-08-31
Financial services,yes,yes,no,yes,2026-08-24
Financial services,no,yes,no,yes,2026-07-30
Tourism and hospitality,yes,no,no,no,2026-07-21
Financial services,no,no,no,yes,2026-06-10
Financial services,no,yes,yes,yes,2026-06-15
Tourism and hospitality,no,yes,no,yes,2026-07-07
Tourism and hospitality,no,yes,no,no,2026-07-08
Public sector,no,yes,no,yes,2026-06-09
Tourism and hospitality,no,yes,yes,no,2026-06-12
Financial services,no,no,yes,no,2026-08-17
Tourism and hospitality,yes,yes,no,yes,2026-09-10
Education,yes,yes,yes,no,2026-07-02
Tourism and hospitality,no,yes,yes,no,2026-08-01
Tourism and hospitality,no,no,yes,no,2026-07-17
Tourism and hospitality,yes,yes,yes,yes,2026-06-26
Tax and accounting,yes,no,yes,yes,2026-07-29
Tourism and hospitality,yes,yes,yes,yes,2026-05-31
Tourism and hospitality,yes,yes,yes,no,2026-06-23
Tax and accounting,yes,no,no,no,2026-08-06
Education,yes,yes,no,no,2026-07-09
Tourism and hospitality,yes,no,no,yes,2026-08-03
Tax and accounting,yes,no,yes,yes,2026-06-18
Financial services,yes,no,no,no,2026-05-26
Tourism and hospitality,yes,yes,yes,yes,2026-09-18
Tourism and hospitality,no,yes,yes,yes,2026-08-14
Public sector,yes,no,no,no,2026-08-01
Tax and accounting,yes,yes,yes,no,2026-09-12
Tourism and hospitality,yes,no,yes,yes,2026-08-21
Tourism and hospitality,no,no,yes,yes,2026-08-25
Financial services,yes,no,yes,no,2026-08-18
Financial services,yes,yes,no,no,2026-06-23
Education,no,no,yes,yes,2026-09-16
Public sector,yes,yes,yes,yes,2026-08-10
Public sector,no,yes,no,yes,2026-08-29
Tourism and hospitality,no,no,yes,yes,2026-06-03
Tourism and hospitality,no,yes,yes,yes,2026-06-10
Education,no,yes,yes,yes,2026-07-21
Tourism and hospitality,no,no,yes,no,2026-05-24
Tourism and hospitality,no,yes,yes,no,2026-09-14
Tourism and hospitality,no,no,no,yes,2026-09-01
Financial services,no,no,no,yes,2026-06-18
Tourism and hospitality,yes,yes,yes,no,2026-05-25
Tax and accounting,yes,yes,yes,no,2026-07-29
Financial services,yes,no,no,no,2026-06-10
Public sector,yes,no,yes,no,2026-06-22
Tourism and hospitality,yes,no,no,no,2026-06-16
Tourism and hospitality,no,no,yes,no,2026-07-31
Financial services,yes,no,yes,no,2026-08-10
Tourism and hospitality,yes,no,yes,yes,2026-06-07
