query,sector,has_aio,sources,ie_sources,read
wedding venue in waterford,Tourism and hospitality,yes,5,1,2026-07-13
gym near waterford,Media and publishing,no,7,6,2026-07-12
wedding venue in waterford,Tourism and hospitality,yes,6,6,2026-07-24
solicitor in donegal,Tourism and hospitality,no,5,3,2026-05-26
best hotel in kildare,Tourism and hospitality,yes,8,2,2026-07-27
dentist in cork,Tax and accounting,yes,4,4,2026-08-10
dentist in cork,Education,no,5,2,2026-08-20
dentist in cork,Education,yes,9,3,2026-08-17
wedding venue in waterford,Motor,yes,5,1,2026-08-20
best hotel in kildare,Tourism and hospitality,no,7,7,2026-06-14
wedding venue in sligo,Tourism and hospitality,no,5,5,2026-07-04
solicitor in donegal,Tourism and hospitality,yes,6,2,2026-07-28
wedding venue in waterford,Media and publishing,no,8,2,2026-07-13
wedding venue in waterford,Professional services,yes,4,5,2026-06-23
wedding venue in waterford,Motor,yes,5,2,2026-05-24
mortgage advice mayo,Education,no,8,4,2026-06-16
best hotel in kildare,Professional services,yes,4,2,2026-07-07
best hotel in kildare,Tourism and hospitality,no,6,6,2026-06-11
dentist in cork,Education,yes,5,5,2026-08-18
mortgage advice mayo,Education,no,6,1,2026-08-20
wedding venue in sligo,Tourism and hospitality,no,8,1,2026-08-13
solicitor in donegal,Tourism and hospitality,no,5,4,2026-08-26
wedding venue in donegal,Motor,yes,6,2,2026-07-17
wedding venue in donegal,Education,no,8,2,2026-06-19
gym near waterford,Tax and accounting,no,4,1,2026-06-27
gym near waterford,Tourism and hospitality,no,5,7,2026-08-17
gym near waterford,Motor,no,6,5,2026-08-26
wedding venue in sligo,Tourism and hospitality,yes,6,3,2026-07-29
mortgage advice mayo,Motor,no,7,0,2026-09-07
gym near waterford,Motor,no,5,5,2026-08-30
gym near waterford,Media and publishing,yes,6,1,2026-09-15
solicitor in donegal,Motor,no,9,2,2026-07-22
wedding venue in waterford,Tourism and hospitality,yes,6,1,2026-06-16
wedding venue in waterford,Education,no,5,7,2026-09-17
wedding venue in waterford,Tax and accounting,no,6,6,2026-07-28
dentist in cork,Professional services,no,5,1,2026-07-25
wedding venue in sligo,Tax and accounting,no,9,2,2026-08-03
wedding venue in waterford,Motor,no,4,3,2026-06-23
wedding venue in sligo,Professional services,no,5,2,2026-07-13
wedding venue in sligo,Motor,yes,9,4,2026-07-02
dentist in cork,Media and publishing,no,6,3,2026-09-19
solicitor in donegal,Tourism and hospitality,yes,6,6,2026-09-06
solicitor in donegal,Tourism and hospitality,no,6,6,2026-07-02
best hotel in kildare,Tax and accounting,no,6,1,2026-07-15
wedding venue in sligo,Tax and accounting,yes,7,0,2026-08-17
wedding venue in sligo,Motor,yes,3,5,2026-09-16
gym near waterford,Education,yes,4,1,2026-06-21
solicitor in donegal,Media and publishing,yes,8,3,2026-07-05
wedding venue in waterford,Tourism and hospitality,no,6,2,2026-07-22
dentist in cork,Motor,yes,6,5,2026-09-03
solicitor in donegal,Motor,no,6,4,2026-09-15
gym near waterford,Media and publishing,yes,5,1,2026-07-06
best hotel in kildare,Tourism and hospitality,no,8,0,2026-07-21
mortgage advice mayo,Tourism and hospitality,yes,3,4,2026-06-01
mortgage advice mayo,Professional services,no,4,1,2026-09-05
wedding venue in donegal,Education,no,10,2,2026-06-28
gym near waterford,Tourism and hospitality,no,6,3,2026-08-11
gym near waterford,Tax and accounting,yes,5,7,2026-08-07
wedding venue in sligo,Professional services,yes,5,4,2026-09-10
wedding venue in donegal,Professional services,no,4,1,2026-07-28
wedding venue in waterford,Tourism and hospitality,no,8,2,2026-09-09
solicitor in donegal,Education,yes,5,5,2026-07-03
wedding venue in donegal,Professional services,no,4,3,2026-08-13
best hotel in kildare,Tourism and hospitality,no,9,2,2026-06-04
solicitor in donegal,Tourism and hospitality,yes,6,1,2026-07-25
solicitor in donegal,Tax and accounting,yes,6,5,2026-08-05
wedding venue in donegal,Professional services,yes,7,4,2026-06-09
solicitor in donegal,Tourism and hospitality,yes,5,3,2026-05-26
best hotel in kildare,Motor,no,9,1,2026-07-13
wedding venue in sligo,Tourism and hospitality,no,5,4,2026-09-18
mortgage advice mayo,Tourism and hospitality,no,4,3,2026-09-06
wedding venue in waterford,Media and publishing,yes,9,2,2026-05-26
wedding venue in donegal,Tourism and hospitality,no,5,2,2026-06-23
dentist in cork,Motor,yes,7,6,2026-07-15
wedding venue in sligo,Media and publishing,yes,6,6,2026-09-14
wedding venue in sligo,Motor,no,4,3,2026-09-04
wedding venue in waterford,Tourism and hospitality,no,9,0,2026-07-25
mortgage advice mayo,Motor,yes,5,5,2026-08-23
dentist in cork,Education,yes,5,2,2026-07-05
dentist in cork,Tourism and hospitality,no,10,3,2026-07-29
gym near waterford,Motor,yes,4,3,2026-09-18
wedding venue in sligo,Tax and accounting,no,5,7,2026-08-18
mortgage advice mayo,Education,yes,5,6,2026-08-26
dentist in cork,Education,yes,6,3,2026-07-10
dentist in cork,Motor,yes,7,2,2026-07-07
gym near waterford,Motor,yes,5,4,2026-06-02
solicitor in donegal,Tax and accounting,no,4,2,2026-07-18
dentist in cork,Professional services,yes,8,4,2026-07-25
gym near waterford,Media and publishing,no,6,3,2026-06-25
wedding venue in sligo,Tax and accounting,yes,5,5,2026-08-22
mortgage advice mayo,Media and publishing,yes,5,4,2026-06-03
dentist in cork,Motor,yes,5,1,2026-06-30
best hotel in kildare,Tourism and hospitality,no,7,2,2026-06-18
mortgage advice mayo,Tax and accounting,no,4,5,2026-09-07
dentist in cork,Education,no,4,3,2026-09-07
dentist in cork,Tourism and hospitality,no,10,4,2026-07-17
wedding venue in sligo,Motor,yes,4,3,2026-08-10
solicitor in donegal,Tourism and hospitality,yes,5,5,2026-07-27
wedding venue in sligo,Motor,no,5,6,2026-09-13
best hotel in kildare,Tourism and hospitality,no,5,1,2026-06-19
best hotel in kildare,Education,yes,7,1,2026-07-30
mortgage advice mayo,Tourism and hospitality,yes,5,4,2026-08-12
mortgage advice mayo,Media and publishing,yes,6,1,2026-05-26
solicitor in donegal,Tax and accounting,no,10,3,2026-08-04
best hotel in kildare,Media and publishing,no,6,3,2026-09-09
dentist in cork,Tourism and hospitality,yes,7,5,2026-08-02
wedding venue in waterford,Media and publishing,no,5,6,2026-09-12
dentist in cork,Professional services,yes,6,3,2026-07-30
wedding venue in waterford,Education,no,9,2,2026-09-14
gym near waterford,Tax and accounting,no,3,3,2026-06-29
dentist in cork,Education,yes,5,2,2026-06-11
wedding venue in waterford,Tourism and hospitality,no,9,3,2026-08-03
solicitor in donegal,Professional services,no,5,3,2026-07-12
gym near waterford,Professional services,yes,6,6,2026-08-03
wedding venue in waterford,Education,yes,5,6,2026-08-10
best hotel in kildare,Tourism and hospitality,no,6,2,2026-05-26
best hotel in kildare,Tourism and hospitality,no,7,0,2026-07-31
dentist in cork,Motor,no,5,3,2026-07-29
gym near waterford,Education,no,6,3,2026-06-14
gym near waterford,Professional services,yes,9,4,2026-07-15
dentist in cork,Professional services,yes,6,3,2026-08-23
dentist in cork,Motor,yes,5,6,2026-05-26
gym near waterford,Media and publishing,no,6,6,2026-06-08
mortgage advice mayo,Education,no,5,3,2026-08-18
wedding venue in sligo,Education,no,7,1,2026-06-23
wedding venue in sligo,Media and publishing,no,3,3,2026-07-14
best hotel in kildare,Tourism and hospitality,yes,4,1,2026-08-16
mortgage advice mayo,Motor,no,10,3,2026-07-28
wedding venue in donegal,Motor,yes,5,2,2026-09-07
dentist in cork,Tax and accounting,no,6,5,2026-08-26
mortgage advice mayo,Education,no,6,6,2026-07-30
gym near waterford,Education,no,5,1,2026-05-31
solicitor in donegal,Media and publishing,no,7,0,2026-06-21
best hotel in kildare,Tax and accounting,no,5,4,2026-06-23
wedding venue in donegal,Tourism and hospitality,yes,4,1,2026-07-23
gym near waterford,Education,yes,8,4,2026-08-24
dentist in cork,Education,yes,6,3,2026-09-04
mortgage advice mayo,Motor,no,5,6,2026-09-13
mortgage advice mayo,Tourism and hospitality,yes,5,4,2026-09-08
solicitor in donegal,Tourism and hospitality,no,6,3,2026-07-05
gym near waterford,Education,no,9,1,2026-05-26
dentist in cork,Tax and accounting,no,3,3,2026-09-06
wedding venue in waterford,Motor,no,5,2,2026-07-12
mortgage advice mayo,Media and publishing,yes,9,3,2026-06-04
best hotel in kildare,Tourism and hospitality,no,6,3,2026-06-13
wedding venue in donegal,Education,no,7,5,2026-06-15
wedding venue in waterford,Education,no,6,5,2026-06-23
gym near waterford,Media and publishing,yes,5,3,2026-06-08
solicitor in donegal,Motor,no,9,0,2026-08-10
dentist in cork,Tax and accounting,no,3,4,2026-07-13
mortgage advice mayo,Media and publishing,yes,5,3,2026-06-16
dentist in cork,Motor,yes,8,4,2026-08-14
solicitor in donegal,Media and publishing,yes,4,3,2026-07-30
best hotel in kildare,Motor,no,7,6,2026-06-20
wedding venue in donegal,Education,no,5,4,2026-08-09
best hotel in kildare,Professional services,yes,6,2,2026-06-23
mortgage advice mayo,Media and publishing,yes,9,2,2026-08-25
best hotel in kildare,Tourism and hospitality,yes,3,5,2026-09-08
wedding venue in sligo,Tourism and hospitality,no,6,1,2026-07-02
gym near waterford,Education,no,10,2,2026-09-10
wedding venue in donegal,Motor,no,4,3,2026-08-08
wedding venue in sligo,Tourism and hospitality,yes,5,5,2026-08-01
gym near waterford,Tourism and hospitality,no,5,4,2026-08-10
dentist in cork,Tourism and hospitality,yes,5,1,2026-05-31
wedding venue in sligo,Motor,yes,7,2,2026-07-22
mortgage advice mayo,Tourism and hospitality,yes,3,4,2026-09-16
wedding venue in donegal,Education,no,6,3,2026-06-13
mortgage advice mayo,Tax and accounting,no,10,2,2026-09-01
best hotel in kildare,Education,yes,4,2,2026-07-11
wedding venue in donegal,Tourism and hospitality,no,7,7,2026-07-18
mortgage advice mayo,Motor,no,7,6,2026-06-30
dentist in cork,Professional services,yes,4,1,2026-09-19
dentist in cork,Tax and accounting,yes,9,2,2026-06-19
mortgage advice mayo,Motor,no,3,3,2026-06-05
gym near waterford,Professional services,no,4,2,2026-06-07
best hotel in kildare,Tax and accounting,yes,9,3,2026-05-30
wedding venue in sligo,Professional services,no,6,2,2026-07-01
gym near waterford,Professional services,no,5,6,2026-06-22
wedding venue in waterford,Education,no,6,4,2026-05-26
gym near waterford,Professional services,yes,5,3,2026-06-23
wedding venue in donegal,Tax and accounting,no,8,1,2026-08-31
gym near waterford,Motor,yes,5,4,2026-06-03
best hotel in kildare,Education,yes,6,1,2026-07-18
mortgage advice mayo,Media and publishing,yes,10,4,2026-05-30
best hotel in kildare,Motor,no,5,3,2026-07-28
mortgage advice mayo,Media and publishing,no,7,5,2026-07-17
gym near waterford,Tourism and hospitality,no,7,5,2026-07-09
wedding venue in sligo,Media and publishing,yes,5,1,2026-08-24
gym near waterford,Media and publishing,no,9,1,2026-07-13
wedding venue in sligo,Tourism and hospitality,yes,4,3,2026-06-09
wedding venue in sligo,Tax and accounting,yes,6,3,2026-09-20
best hotel in kildare,Tourism and hospitality,yes,9,2,2026-05-27
wedding venue in donegal,Tax and accounting,yes,4,2,2026-09-19
mortgage advice mayo,Tourism and hospitality,no,7,5,2026-08-02
dentist in cork,Tourism and hospitality,no,7,4,2026-08-12
wedding venue in waterford,Motor,no,6,1,2026-07-31
mortgage advice mayo,Motor,no,9,0,2026-07-07
wedding venue in sligo,Motor,yes,4,3,2026-08-14
wedding venue in donegal,Tax and accounting,yes,6,3,2026-09-14
dentist in cork,Motor,yes,10,2,2026-08-19
mortgage advice mayo,Tax and accounting,no,5,3,2026-07-17
gym near waterford,Tourism and hospitality,yes,6,7,2026-07-08
gym near waterford,Education,yes,5,4,2026-08-01
gym near waterford,Tourism and hospitality,no,5,1,2026-06-12
solicitor in donegal,Motor,no,9,2,2026-08-08
solicitor in donegal,Tourism and hospitality,yes,5,3,2026-09-05
gym near waterford,Media and publishing,yes,5,2,2026-09-20
solicitor in donegal,Media and publishing,no,9,4,2026-08-11
mortgage advice mayo,Education,yes,6,3,2026-08-02
best hotel in kildare,Tourism and hospitality,no,6,5,2026-09-09
dentist in cork,Tax and accounting,no,6,4,2026-06-20
wedding venue in waterford,Motor,yes,6,1,2026-07-13
mortgage advice mayo,Tourism and hospitality,yes,7,1,2026-06-21
best hotel in kildare,Education,yes,3,4,2026-06-06
dentist in cork,Tourism and hospitality,yes,4,2,2026-06-05
mortgage advice mayo,Tourism and hospitality,yes,8,3,2026-07-23
wedding venue in waterford,Tourism and hospitality,yes,5,1,2026-09-12
dentist in cork,Tourism and hospitality,yes,5,7,2026-07-13
solicitor in donegal,Motor,yes,7,4,2026-07-13
wedding venue in sligo,Motor,no,6,3,2026-09-05
dentist in cork,Professional services,no,9,2,2026-09-04
dentist in cork,Professional services,yes,4,3,2026-09-17
wedding venue in waterford,Education,no,6,1,2026-08-31
wedding venue in waterford,Tourism and hospitality,no,10,3,2026-07-28
mortgage advice mayo,Tax and accounting,yes,6,1,2026-07-17
wedding venue in waterford,Education,no,6,6,2026-06-15
wedding venue in sligo,Professional services,yes,7,6,2026-06-24
wedding venue in donegal,Tax and accounting,no,5,2,2026-09-17
wedding venue in donegal,Tourism and hospitality,yes,9,1,2026-09-04
dentist in cork,Tourism and hospitality,yes,4,5,2026-06-30
wedding venue in sligo,Motor,no,4,2,2026-09-01
wedding venue in waterford,Education,no,8,3,2026-08-30
gym near waterford,Professional services,no,5,3,2026-06-25
wedding venue in waterford,Motor,no,7,5,2026-07-06
wedding venue in donegal,Education,yes,6,6,2026-07-14
wedding venue in donegal,Tourism and hospitality,no,5,1,2026-08-06
best hotel in kildare,Education,yes,9,1,2026-09-18
mortgage advice mayo,Tourism and hospitality,yes,5,5,2026-06-01
wedding venue in sligo,Tourism and hospitality,yes,4,3,2026-07-04
dentist in cork,Tourism and hospitality,yes,9,3,2026-06-27
mortgage advice mayo,Tourism and hospitality,no,4,1,2026-06-27
solicitor in donegal,Tax and accounting,no,7,5,2026-05-25
gym near waterford,Media and publishing,no,7,4,2026-06-16
wedding venue in donegal,Tax and accounting,no,5,1,2026-07-21
wedding venue in waterford,Education,yes,7,0,2026-07-01
best hotel in kildare,Tourism and hospitality,no,3,5,2026-05-29
gym near waterford,Motor,yes,5,3,2026-08-19
wedding venue in sligo,Tourism and hospitality,yes,8,3,2026-07-19
gym near waterford,Professional services,yes,6,3,2026-08-13
wedding venue in waterford,Tourism and hospitality,yes,6,7,2026-07-19
solicitor in donegal,Media and publishing,no,5,5,2026-06-12
wedding venue in waterford,Motor,no,4,3,2026-07-12
wedding venue in sligo,Professional services,no,9,2,2026-06-01
wedding venue in donegal,Education,no,5,3,2026-09-10
mortgage advice mayo,Motor,no,6,1,2026-08-30
solicitor in donegal,Media and publishing,no,8,2,2026-07-04
dentist in cork,Professional services,yes,4,2,2026-07-15
solicitor in donegal,Tax and accounting,yes,5,7,2026-06-26
mortgage advice mayo,Tourism and hospitality,no,5,5,2026-08-24
wedding venue in sligo,Tax and accounting,yes,5,3,2026-07-19
wedding venue in donegal,Tourism and hospitality,no,9,1,2026-09-02
solicitor in donegal,Professional services,no,3,4,2026-06-09
gym near waterford,Tourism and hospitality,yes,5,2,2026-05-25
solicitor in donegal,Tourism and hospitality,yes,8,4,2026-09-07
dentist in cork,Education,yes,4,2,2026-07-18
wedding venue in donegal,Media and publishing,yes,6,5,2026-09-05
wedding venue in sligo,Motor,yes,7,5,2026-06-06
best hotel in kildare,Tourism and hospitality,no,4,1,2026-07-05
wedding venue in sligo,Motor,yes,9,2,2026-06-13
mortgage advice mayo,Professional services,yes,4,3,2026-07-18
gym near waterford,Motor,no,4,3,2026-08-01
wedding venue in waterford,Media and publishing,yes,9,2,2026-07-16
best hotel in kildare,Professional services,no,5,1,2026-09-15
dentist in cork,Media and publishing,yes,5,7,2026-08-14
best hotel in kildare,Tax and accounting,no,7,6,2026-06-23
wedding venue in waterford,Motor,yes,5,3,2026-09-13
dentist in cork,Motor,yes,7,1,2026-09-08
dentist in cork,Motor,yes,4,5,2026-07-01
mortgage advice mayo,Media and publishing,no,6,2,2026-09-15
solicitor in donegal,Professional services,no,8,3,2026-07-13
gym near waterford,Tax and accounting,yes,5,1,2026-08-01
wedding venue in sligo,Education,yes,6,6,2026-07-03
wedding venue in waterford,Tourism and hospitality,yes,7,5,2026-07-06
dentist in cork,Education,yes,6,1,2026-08-05
wedding venue in waterford,Education,no,8,2,2026-06-21
wedding venue in waterford,Tourism and hospitality,yes,5,4,2026-07-22
wedding venue in sligo,Tax and accounting,yes,4,2,2026-08-18
wedding venue in sligo,Education,yes,10,3,2026-05-27
gym near waterford,Motor,no,4,1,2026-06-10
mortgage advice mayo,Media and publishing,yes,7,6,2026-06-04
wedding venue in sligo,Education,no,7,6,2026-07-18
gym near waterford,Professional services,yes,6,3,2026-07-28
wedding venue in donegal,Motor,no,7,1,2026-06-29
wedding venue in donegal,Motor,no,3,3,2026-07-10
wedding venue in waterford,Education,no,6,2,2026-05-27
wedding venue in waterford,Motor,no,8,2,2026-07-12
gym near waterford,Tourism and hospitality,no,6,2,2026-06-16
wedding venue in sligo,Tourism and hospitality,yes,7,5,2026-07-20
wedding venue in donegal,Tax and accounting,no,7,6,2026-06-27
mortgage advice mayo,Education,yes,4,1,2026-08-27
mortgage advice mayo,Tax and accounting,no,9,0,2026-06-10
gym near waterford,Tax and accounting,yes,5,5,2026-06-29
best hotel in kildare,Tourism and hospitality,yes,4,3,2026-08-10
wedding venue in sligo,Education,yes,10,4,2026-09-07
gym near waterford,Motor,no,5,1,2026-08-01
gym near waterford,Education,no,6,6,2026-08-06
wedding venue in waterford,Tax and accounting,yes,6,4,2026-06-07
best hotel in kildare,Tourism and hospitality,yes,4,2,2026-08-12
best hotel in kildare,Media and publishing,yes,8,1,2026-08-22
solicitor in donegal,Tourism and hospitality,yes,5,4,2026-06-26
gym near waterford,Media and publishing,yes,6,1,2026-07-10
wedding venue in sligo,Motor,no,10,2,2026-06-23
wedding venue in sligo,Tourism and hospitality,yes,5,3,2026-09-04
dentist in cork,Tax and accounting,no,7,7,2026-07-18
solicitor in donegal,Education,no,6,5,2026-09-20
wedding venue in donegal,Tourism and hospitality,no,6,2,2026-06-20
gym near waterford,Motor,no,9,2,2026-07-27
dentist in cork,Tax and accounting,yes,5,3,2026-09-15
wedding venue in donegal,Motor,no,4,3,2026-06-14
wedding venue in donegal,Media and publishing,no,9,4,2026-08-28
wedding venue in waterford,Tourism and hospitality,no,5,2,2026-06-24
gym near waterford,Professional services,yes,6,7,2026-07-08
best hotel in kildare,Media and publishing,no,7,5,2026-09-10
wedding venue in sligo,Motor,no,4,2,2026-06-22
mortgage advice mayo,Education,no,8,2,2026-09-02
mortgage advice mayo,Tax and accounting,no,4,3,2026-06-05
wedding venue in donegal,Tax and accounting,yes,6,1,2026-06-23
wedding venue in donegal,Motor,no,10,3,2026-07-26
best hotel in kildare,Media and publishing,yes,5,3,2026-07-08
solicitor in donegal,Professional services,no,5,6,2026-06-25
mortgage advice mayo,Motor,yes,7,6,2026-08-08
mortgage advice mayo,Tourism and hospitality,yes,6,2,2026-06-29
dentist in cork,Motor,no,8,2,2026-07-02
gym near waterford,Tax and accounting,yes,5,4,2026-08-09
wedding venue in donegal,Tourism and hospitality,no,6,3,2026-08-22
solicitor in donegal,Tax and accounting,no,10,3,2026-08-26
mortgage advice mayo,Education,yes,4,2,2026-07-14
solicitor in donegal,Media and publishing,yes,7,7,2026-05-31
best hotel in kildare,Tourism and hospitality,no,5,6,2026-08-15
dentist in cork,Tourism and hospitality,yes,6,2,2026-07-19
best hotel in kildare,Media and publishing,yes,9,0,2026-08-04
gym near waterford,Education,yes,4,5,2026-06-09
wedding venue in sligo,Tourism and hospitality,no,4,2,2026-08-29
wedding venue in donegal,Tourism and hospitality,yes,9,4,2026-08-08
wedding venue in donegal,Tourism and hospitality,no,4,1,2026-07-05
wedding venue in donegal,Education,no,5,6,2026-09-06
wedding venue in sligo,Tax and accounting,yes,5,4,2026-07-02
mortgage advice mayo,Motor,no,6,1,2026-06-30
wedding venue in sligo,Motor,no,8,0,2026-05-30
dentist in cork,Media and publishing,yes,3,4,2026-07-19
wedding venue in donegal,Media and publishing,yes,5,1,2026-06-03
wedding venue in sligo,Motor,no,9,2,2026-08-07
wedding venue in waterford,Professional services,yes,4,3,2026-07-04
wedding venue in sligo,Motor,yes,7,6,2026-08-19
gym near waterford,Education,no,5,6,2026-07-04
wedding venue in sligo,Tourism and hospitality,no,5,2,2026-07-21
wedding venue in sligo,Media and publishing,no,7,2,2026-09-17
solicitor in donegal,Motor,yes,3,3,2026-07-12
wedding venue in sligo,Professional services,yes,4,3,2026-06-17
mortgage advice mayo,Tourism and hospitality,no,10,2,2026-08-21
solicitor in donegal,Professional services,no,5,3,2026-08-06
wedding venue in waterford,Motor,yes,7,6,2026-09-11
wedding venue in sligo,Motor,yes,5,6,2026-06-12
dentist in cork,Professional services,yes,4,2,2026-09-01
wedding venue in waterford,Tourism and hospitality,yes,9,1,2026-08-12
solicitor in donegal,Motor,yes,4,3,2026-08-29
best hotel in kildare,Motor,yes,6,3,2026-06-03
wedding venue in sligo,Tourism and hospitality,no,10,4,2026-06-14
wedding venue in sligo,Media and publishing,yes,4,2,2026-08-29
solicitor in donegal,Media and publishing,no,7,7,2026-05-30
mortgage advice mayo,Tourism and hospitality,no,7,5,2026-09-06
gym near waterford,Motor,yes,4,2,2026-07-16
solicitor in donegal,Education,no,9,2,2026-06-10
solicitor in donegal,Motor,yes,4,5,2026-07-22
solicitor in donegal,Tax and accounting,yes,5,3,2026-08-22
mortgage advice mayo,Education,yes,8,4,2026-08-19
solicitor in donegal,Motor,no,5,2,2026-09-10
solicitor in donegal,Tourism and hospitality,no,6,6,2026-06-07
best hotel in kildare,Motor,yes,5,5,2026-08-18
wedding venue in waterford,Motor,no,4,3,2026-06-20
wedding venue in sligo,Tax and accounting,no,9,0,2026-06-20
wedding venue in sligo,Tourism and hospitality,yes,3,3,2026-07-22
dentist in cork,Motor,yes,6,3,2026-09-07
wedding venue in waterford,Motor,no,9,3,2026-06-20
best hotel in kildare,Motor,yes,5,1,2026-07-21
wedding venue in sligo,Education,no,5,5,2026-07-16
mortgage advice mayo,Tourism and hospitality,yes,7,4,2026-09-13
mortgage advice mayo,Motor,yes,5,3,2026-06-21
best hotel in kildare,Tourism and hospitality,no,8,2,2026-08-17
solicitor in donegal,Professional services,no,5,3,2026-06-25
best hotel in kildare,Media and publishing,no,6,2,2026-09-20
gym near waterford,Education,no,8,4,2026-08-28
wedding venue in waterford,Education,yes,5,1,2026-08-07
wedding venue in sligo,Media and publishing,no,5,5,2026-07-24
wedding venue in donegal,Tourism and hospitality,yes,5,4,2026-05-29
solicitor in donegal,Motor,no,4,1,2026-06-08
solicitor in donegal,Education,yes,7,1,2026-07-25
mortgage advice mayo,Tourism and hospitality,no,3,4,2026-07-16
mortgage advice mayo,Education,no,6,1,2026-08-24
mortgage advice mayo,Media and publishing,yes,9,3,2026-08-05
mortgage advice mayo,Media and publishing,no,6,2,2026-09-13
wedding venue in waterford,Tourism and hospitality,yes,5,5,2026-08-09
wedding venue in sligo,Tourism and hospitality,yes,5,4,2026-07-25
best hotel in kildare,Tourism and hospitality,yes,5,2,2026-06-21
wedding venue in waterford,Tax and accounting,yes,9,1,2026-06-23
gym near waterford,Tourism and hospitality,no,3,4,2026-07-28
dentist in cork,Media and publishing,no,6,3,2026-05-26
wedding venue in sligo,Motor,yes,8,2,2026-08-05
solicitor in donegal,Media and publishing,no,6,2,2026-06-03
best hotel in kildare,Professional services,yes,5,6,2026-06-27
dentist in cork,Motor,yes,5,6,2026-07-10
solicitor in donegal,Tourism and hospitality,yes,5,2,2026-08-10
solicitor in donegal,Motor,yes,7,0,2026-06-10
solicitor in donegal,Education,no,5,3,2026-09-05
gym near waterford,Professional services,no,6,3,2026-08-22
gym near waterford,Tourism and hospitality,yes,10,2,2026-07-25
wedding venue in sligo,Media and publishing,yes,6,1,2026-08-16
wedding venue in donegal,Motor,yes,6,7,2026-06-14
best hotel in kildare,Tourism and hospitality,no,5,5,2026-06-20
gym near waterford,Tax and accounting,no,5,2,2026-05-27
gym near waterford,Tax and accounting,no,8,0,2026-07-29
wedding venue in sligo,Media and publishing,yes,5,4,2026-06-18
wedding venue in donegal,Motor,no,6,2,2026-08-11
gym near waterford,Motor,yes,8,2,2026-08-13
wedding venue in waterford,Motor,yes,5,1,2026-08-03
mortgage advice mayo,Media and publishing,yes,5,7,2026-06-24
mortgage advice mayo,Motor,no,7,5,2026-07-07
wedding venue in donegal,Tax and accounting,yes,5,1,2026-06-12
solicitor in donegal,Education,no,9,0,2026-09-18
wedding venue in sligo,Media and publishing,no,3,4,2026-08-15
dentist in cork,Motor,yes,5,3,2026-07-29
wedding venue in sligo,Professional services,yes,10,2,2026-08-18
wedding venue in donegal,Tax and accounting,yes,4,3,2026-09-10
best hotel in kildare,Tourism and hospitality,no,6,7,2026-07-18
gym near waterford,Motor,yes,7,4,2026-09-19
mortgage advice mayo,Education,no,5,3,2026-07-09
wedding venue in donegal,Tourism and hospitality,yes,9,2,2026-08-26
gym near waterford,Professional services,yes,5,3,2026-07-18
solicitor in donegal,Motor,yes,5,3,2026-09-05
dentist in cork,Tourism and hospitality,yes,9,3,2026-06-13
wedding venue in donegal,Media and publishing,no,6,1,2026-08-08
wedding venue in waterford,Education,yes,5,6,2026-05-24
wedding venue in donegal,Motor,no,5,4,2026-08-08
best hotel in kildare,Motor,yes,6,1,2026-06-08
solicitor in donegal,Motor,yes,9,0,2026-09-07
wedding venue in donegal,Professional services,no,4,5,2026-08-17
gym near waterford,Motor,no,6,3,2026-07-21
best hotel in kildare,Professional services,yes,8,2,2026-06-19
wedding venue in sligo,Education,no,4,3,2026-06-25
wedding venue in waterford,Motor,yes,7,7,2026-07-25
best hotel in kildare,Motor,yes,6,6,2026-08-12
dentist in cork,Education,yes,4,2,2026-09-07
solicitor in donegal,Tourism and hospitality,yes,9,0,2026-08-21
mortgage advice mayo,Motor,no,3,3,2026-09-08
dentist in cork,Tourism and hospitality,no,6,2,2026-05-29
dentist in cork,Motor,no,9,4,2026-07-07
wedding venue in donegal,Tax and accounting,yes,4,3,2026-07-29
solicitor in donegal,Tax and accounting,no,6,5,2026-08-25
solicitor in donegal,Tourism and hospitality,no,5,6,2026-07-26
solicitor in donegal,Tourism and hospitality,no,6,1,2026-08-21
solicitor in donegal,Tax and accounting,yes,8,1,2026-08-21
wedding venue in sligo,Tax and accounting,yes,3,4,2026-09-02
dentist in cork,Tourism and hospitality,yes,5,2,2026-08-26
wedding venue in waterford,Tourism and hospitality,no,10,2,2026-08-18
dentist in cork,Motor,no,6,2,2026-06-22
wedding venue in donegal,Professional services,yes,5,7,2026-07-14
mortgage advice mayo,Education,no,7,5,2026-08-06
wedding venue in waterford,Media and publishing,no,6,1,2026-06-13
wedding venue in waterford,Professional services,no,8,2,2026-07-22
wedding venue in donegal,Media and publishing,no,5,3,2026-08-15
mortgage advice mayo,Tax and accounting,yes,4,2,2026-07-23
wedding venue in sligo,Motor,yes,8,2,2026-06-02
wedding venue in waterford,Tourism and hospitality,yes,4,2,2026-05-26
wedding venue in donegal,Tourism and hospitality,yes,5,5,2026-06-28
solicitor in donegal,Professional services,no,6,4,2026-08-04
dentist in cork,Media and publishing,yes,5,1,2026-07-21
gym near waterford,Education,yes,8,0,2026-09-02
gym near waterford,Professional services,no,5,3,2026-09-17
mortgage advice mayo,Tax and accounting,yes,4,1,2026-08-08
solicitor in donegal,Tourism and hospitality,no,10,4,2026-05-30
wedding venue in sligo,Motor,yes,4,1,2026-08-17
wedding venue in waterford,Professional services,no,5,5,2026-08-24
dentist in cork,Motor,yes,7,5,2026-09-18
mortgage advice mayo,Motor,no,4,1,2026-08-13
